author_id,last_first,genre,country
AU139,"Thompson, Grace",Romance,India
AU140,"Williams, Daniel",Action,Croatia
AU141,"Smith, Amelia",Sci-Fi,Sweden
AU142,"Watson, Grace",Horror,China
AU143,"Turner, Jack",Sci-Fi,South Korea
AU144,"Thompson, Henry",Sci-Fi,Russia
AU145,"Williams, Freddie",Sci-Fi,Czech Republic
AU146,"Williams, Henry",Sci-Fi,Netherlands
AU147,"Jackson, Isabella",Thriller,Belgium
AU148,"Turner, Sophia",Thriller,Japan
AU149,"Cooper, Oliver",Horror,Brazil
AU150,"Robinson, Charlotte",Comedy,Serbia
AU151,"Walker, Alfie",Thriller,United Kingdom
AU152,"Harris, Emily",Documentary,Poland
AU153,"AU10, Sophie Cooper",Comedy,Italy
AU154,"Johnson, Poppy",Action,Sweden
AU155,"Jackson, Ava",Drama,Belgium
AU156,"Robinson, Hannah",Documentary,Croatia
AU157,"Lee, Freddie",Documentary,Japan
AU158,"Harris, Sophie",Thriller,India
AU159,"Scott, William",Thriller,Mexico
AU160,"Wright, James",Comedy,South Korea
AU161,"Cooper, Jack",Drama,China
AU162,"Jackson, Henry",Horror,Norway
AU163,"Lee, Jacob",Action,Czech Republic
AU164,"Wright, George",Thriller,France
AU165,"White, George",Thriller,Brazil
AU166,"King, Benjamin",Comedy,Brazil
AU167,"King, Amelia",Horror,Canada
AU168,"Wilson, Isla",Romance,Sweden
AU169,"Clarke, Olivia",Documentary,India
AU170,"AU11, Charlotte King",Action,United States
AU171,"Johnson, Jacob",Documentary,Austria
AU172,"Taylor, Noah",Drama,Serbia
AU173,"Jackson, Lewis",Comedy,South Africa
AU174,"Martin, Samuel",Comedy,Portugal
AU175,"Walker, Benjamin",Romance,Czech Republic
AU176,"Brown, Alice",Drama,United States
AU177,"Davies, Thomas",Drama,Croatia
AU178,"Roberts, Charlie",Action,Spain
AU179,"Davies, Henry",Romance,Greece
AU180,"Turner, Daniel",Sci-Fi,Brazil
AU181,"Thompson, Sophia",Action,Serbia
AU182,"Davies, Noah",Romance,Switzerland
AU183,"Walker, Sophia",Documentary,Austria
AU184,"AU12, Henry Green",Comedy,United States
AU185,"AU13, Grace Lee",Drama,Australia
AU186,"White, Charlie",Horror,Denmark
AU187,"Smith, Sophia",Horror,Austria
AU188,"Watson, Jack",Action,Switzerland
AU189,"Harris, Jack",Sci-Fi,South Korea
AU190,"Taylor, Joshua",Thriller,United Kingdom
AU191,"AU14, Jessica Smith",Comedy,Belgium
AU192,"Johnson, James",Action,Serbia
AU193,"Roberts, Samuel",Comedy,Switzerland
AU194,"Martin, Oliver",Romance,Russia
AU195,"Scott, Joshua",Documentary,Russia
AU196,"Davies, George",Drama,Brazil
AU197,"Green, Isla",Documentary,United Kingdom
AU198,"Davies, Charlotte",Thriller,Czech Republic
AU199,"Evans, Sophie",Comedy,Canada
AU200,"Taylor, Henry",Sci-Fi,Croatia
