athlete_id,athlete_name,sport,nationality_iso3
ATH155,Ivan Andersen,Tennis,SWE
ATH156,Felix Taylor,Judo,BRA
ATH157,Oliver Garcia,Swimming,ITA
ATH158,Carlos Chen,Cycling,RUS
ATH159,Elena Romano159,Judo,GRC
ATH160,Ana Hansen160,Football,SWE
ATH161,Julian Ferreira,Judo,FRA
ATH162,Julia Garcia162,Basketball,CAN
ATH163,Sofia Fischer,Football,ESP
ATH164,Julian Chen,Athletics,DEU
ATH165,Maria Novak,Boxing,USA
ATH166,Lucas Kowalski,Athletics,AUS
ATH167,Lucas Popescu167,Swimming,CZE
ATH168,Rafael Andersen,Swimming,CAN
ATH169,Carlos Martinez,Boxing,FRA
ATH170,Julian Dupont,Swimming,CAN
ATH171,Mia Nkosi,Basketball,AUS
ATH172,Chris Dupont,Cycling,FRA
ATH173,Elena Costa,Cycling,NOR
ATH174,Lena Taylor174,Basketball,KOR
ATH175,Maria Chen,Football,FRA
ATH176,Viktor Novak,Athletics,CZE
ATH177,Lena Garcia177,Cycling,CZE
ATH178,Carlos Chen178,Athletics,SWE
ATH179,Elena Costa179,Swimming,SWE
ATH180,Laura Ferreira180,Judo,CZE
ATH181,Ana Morin181,Cycling,BEL
ATH182,Petra Smith,Swimming,NLD
ATH183,Petra Yamamoto183,Basketball,SWE
ATH184,Nina Bianchi,Tennis,FRA
ATH185,Chris Bianchi,Boxing,MEX
ATH186,Max Kowalski,Tennis,ESP
ATH187,Lena Chen,Boxing,NOR
ATH188,Chris Petit,Football,SRB
ATH189,Chris Russo,Boxing,BRA
ATH190,Rafael Kowalski,Athletics,DNK
ATH191,Laura Rossi,Athletics,SRB
ATH192,Chris Smith,Boxing,DNK
ATH193,Mia Santos,Football,NOR
ATH194,Clara Nkosi,Boxing,BEL
ATH195,David Martinez,Boxing,HRV
ATH196,Elena Petit,Football,CAN
ATH197,Ivan Bianchi,Football,NOR
ATH198,Carlos Martinez198,Tennis,GBR
ATH199,Sara Leclerc,Tennis,ESP
ATH200,Clara Kowalski,Judo,CZE
ATH201,David Hernandez,Athletics,SWE
ATH202,Petra Russo,Athletics,BEL
ATH203,Nina Garcia203,Judo,IND
ATH204,Clara Dupont,Basketball,NLD
ATH205,Chris Andersen,Basketball,NLD
ATH206,Sofia Romano,Tennis,KOR
ATH207,Maria Bianchi,Cycling,NLD
ATH208,Viktor Garcia,Tennis,ARG
ATH209,David Chen,Football,AUT
ATH210,Ivan Rossi,Boxing,MEX
ATH211,Petra Martinez,Cycling,ARG
ATH212,Lena Eriksson212,Boxing,FRA
ATH213,Lena Martinez,Cycling,GRC
ATH214,Carlos Santos,Basketball,MEX
ATH215,Maria Morin215,Judo,AUS
ATH216,Sofia Novak,Swimming,BRA
ATH217,Ana Ferreira,Athletics,GBR
ATH218,Lucas Chen,Cycling,ZAF
ATH219,Oliver Weber,Boxing,RUS
ATH220,Ivan Morin,Tennis,AUT
ATH221,Luis Petit221,Boxing,SWE
ATH222,Clara Novak,Judo,IND
ATH223,Carlos Fischer,Tennis,BEL
ATH224,Julia Nkosi,Basketball,CZE
ATH225,Marco Dupont,Judo,AUT
ATH226,Lena Eriksson226,Tennis,PRT
ATH227,Katarina Yamamoto,Boxing,FRA
ATH228,Mia Novak,Football,HRV
ATH229,Carlos Hernandez,Football,BRA
ATH230,Ana Ferreira230,Tennis,RUS
ATH231,Katarina Yamamoto231,Basketball,GRC
ATH232,Ana Yamamoto,Swimming,BRA
ATH233,Thomas Popescu233,Athletics,DEU
ATH234,Carlos Leclerc,Tennis,CZE
ATH235,Felix Hansen,Football,BEL
ATH236,Chris Chen,Athletics,ARG
ATH237,Lena Yamamoto,Tennis,CAN
ATH238,Chris Nkosi,Cycling,PRT
ATH239,Ana Costa,Judo,NOR
ATH240,David Dupont,Judo,BEL
ATH241,Felix Dupont,Tennis,DEU
ATH242,Rafael Hernandez,Athletics,CAN
ATH243,Petra Smith243,Judo,FRA
ATH244,Rafael Popescu244,Basketball,NOR
ATH245,Ana Dupont,Tennis,AUT
ATH246,Nina Müller,Basketball,JPN
ATH247,Julian Dupont247,Basketball,NOR
ATH248,Elena Morin,Tennis,NOR
ATH249,Viktor Hernandez,Basketball,HRV
ATH250,Sara Andersen,Football,ITA
ATH251,Max Petit,Tennis,RUS
ATH252,Viktor Taylor,Cycling,CAN
ATH253,Maria Dupont253,Athletics,ESP
ATH254,Felix Hansen254,Cycling,MEX
ATH255,Felix Smith,Boxing,BEL
ATH256,Emma Fischer,Judo,POL
ATH257,Sofia Yamamoto,Tennis,GBR
ATH258,Rafael Smith,Basketball,JPN
ATH259,Oliver Russo,Football,KOR
ATH260,Laura Ferreira260,Swimming,IND
ATH261,Lucas Leclerc261,Football,JPN
ATH262,Laura Eriksson,Swimming,ESP
ATH263,Rafael Yamamoto,Tennis,PRT
ATH264,Mia Eriksson,Cycling,BRA
ATH265,Max Santos,Athletics,RUS
ATH266,Thomas Santos,Judo,AUT
ATH267,Luis Martinez,Football,HRV
ATH268,Julia Ferreira,Football,CHE
ATH269,Sara Popescu,Football,CZE
ATH270,Sofia Dupont,Tennis,HRV
ATH271,Lena Yamamoto271,Tennis,ZAF
ATH272,Max Yamamoto,Cycling,GRC
ATH273,Viktor Andersen,Cycling,BRA
ATH274,Lena Weber,Football,KOR
ATH275,Petra Weber,Cycling,SRB
ATH276,Julian Kowalski,Tennis,MEX
ATH277,Emma Garcia,Football,DEU
ATH278,Carlos Novak,Swimming,ITA
ATH279,Laura Bianchi279,Football,BRA
ATH280,Rafael Garcia,Cycling,BRA
ATH281,Laura Kowalski,Boxing,ARG
ATH282,Katarina Kowalski,Cycling,CAN
ATH283,Sofia Santos,Swimming,ESP
ATH284,Chris Chen284,Athletics,ZAF
ATH285,Carlos Romano285,Swimming,AUT
ATH286,Julian Russo,Athletics,RUS
ATH287,Thomas Santos287,Judo,JPN
ATH288,Elena Eriksson,Football,RUS
ATH289,Clara Kowalski289,Basketball,PRT
ATH290,Luis Rossi,Swimming,ITA
ATH291,Lucas Hansen291,Cycling,BRA
ATH292,Nina Hernandez,Football,GRC
ATH293,Thomas Andersen,Cycling,CZE
ATH294,Rafael Costa,Cycling,NOR
ATH295,Julia Novak,Swimming,JPN
ATH296,Thomas Yamamoto,Boxing,FRA
ATH297,Julia Smith,Judo,CHN
ATH298,Ivan Weber,Judo,DEU
ATH299,Petra Petit,Athletics,NOR
ATH300,Sofia Taylor,Football,SRB
