product_id,product_name,brand,category,annual_sales_chf,units_sold
PROD155,Cordless Drill O12,Sony,Home & Garden,2383264,13718
PROD156,Sports Jacket M98,Unilever,Apparel,17875771,319543
PROD157,Training Tee P80,Siemens,Apparel,1088278,8771
PROD158,Performance Shorts X80,Adidas,Apparel,4130130,29876
PROD159,Performance Shorts I49,P&G,Apparel,416310,7536
PROD160,Energy Drink Pack X34,Adidas,Food & Beverage,3514496,26434
PROD161,Smartphone Y98 Plus,Bosch,Electronics,8642981,113938
PROD162,Coffee Blend X71,P&G,Food & Beverage,2779119,23600
PROD163,Resistance Bands D34,Nike,Sports Equipment,1877612,15918
PROD164,Protein Bar F48,Samsung,Food & Beverage,4435509,43287
PROD165,Yoga Mat Pro I15,Apple,Sports Equipment,7082427,222006
PROD166,Resistance Bands W26,Panasonic,Sports Equipment,6828973,45553
PROD167,Smart TV S46,Panasonic,Electronics,25232398,368832
PROD168,Cordless Drill K33,Apple,Home & Garden,4337641,92007
PROD169,Performance Shorts D18,IKEA,Apparel,1948175,80975
PROD170,Robot Vacuum S90,Apple,Home & Garden,3103904,27913
PROD171,Coffee Blend Z82,Nike,Food & Beverage,3274173,26208
PROD172,Laptop Model D81,H&M,Electronics,3923733,193980
PROD173,Yoga Mat Pro Y76,IKEA,Sports Equipment,3416018,34604
PROD174,Cordless Drill J85,H&M,Home & Garden,4187816,78310
PROD175,Running Shoes T22,Nestlé,Apparel,663641,5539
PROD176,Protein Bar V20,Bosch,Food & Beverage,8059968,178240
PROD177,Coffee Blend R19,Bosch,Food & Beverage,1982857,15607
PROD178,Tablet Pro O98,Heinz,Electronics,1090864,13833
PROD179,Smart Thermostat B39,Nike,Home & Garden,6654576,40093
PROD180,Performance Shorts C97,Unilever,Apparel,13117050,333061
PROD181,Sports Jacket N24,3M,Apparel,5759137,80406
PROD182,Coffee Blend I28,Sony,Food & Beverage,4134601,116224
PROD183,Laptop Model Z49,Heinz,Electronics,1387587,8457
PROD184,Resistance Bands O25,Zara,Sports Equipment,61926196,395516
PROD185,Performance Shorts I74,3M,Apparel,8477938,145026
PROD186,Cordless Drill C86,Apple,Home & Garden,1128384,9238
PROD187,Smart Thermostat T42,Samsung,Home & Garden,1615964,10989
PROD188,Laptop Model V83,Colgate,Electronics,3839401,36377
PROD189,Wireless Headphones S15,Bosch,Electronics,745232,7342
PROD190,Cordless Drill I33,Colgate,Home & Garden,4165562,74505
PROD191,Cordless Drill C70,Puma,Home & Garden,2225635,68803
PROD192,Smart Thermostat K95,LG,Home & Garden,11976987,74987
PROD193,Protein Bar N98,Panasonic,Food & Beverage,9200399,57421
PROD194,Performance Shorts Y80,Apple,Apparel,234812,1991
PROD195,Robot Vacuum K42,Adidas,Home & Garden,3669679,51466
PROD196,Tablet Pro Q10,3M,Electronics,699978,9599
PROD197,Cordless Drill B34,Siemens,Home & Garden,10660234,80399
PROD198,Performance Shorts U66,Apple,Apparel,4163381,26069
PROD199,Protein Bar R26,Nike,Food & Beverage,6086578,38494
PROD200,Cordless Drill D13,Heinz,Home & Garden,1215130,8609
