athlete_id,athlete_name,sport,nationality
ATH104,Oliver Novak,Cycling,Japan
ATH105,Ana Taylor,Boxing,Sweden
ATH106,Oliver Nkosi,Swimming,South Korea
ATH107,Carlos Garcia,Boxing,India
ATH108,Elena Romano108,Boxing,South Korea
ATH109,Katarina Fischer,Athletics,Portugal
ATH110,Katarina Müller,Football,Mexico
ATH111,Marco Russo111,Football,Portugal
ATH112,Maria Müller,Athletics,South Korea
ATH113,Viktor Popescu,Tennis,Switzerland
ATH114,Viktor Nkosi,Cycling,Argentina
ATH115,Emma Popescu,Swimming,Japan
ATH116,Luis Hernandez116,Cycling,Portugal
ATH117,Maria Nkosi,Cycling,Portugal
ATH118,Chris Costa,Judo,Netherlands
ATH119,Maria Smith,Basketball,Greece
ATH120,Chris Fischer,Athletics,Germany
ATH121,Rafael Fischer,Swimming,India
ATH122,Lena Santos,Athletics,Croatia
ATH123,Emma Petit123,Basketball,Portugal
ATH124,Felix Novak,Basketball,Portugal
ATH125,Julia Chen,Judo,Switzerland
ATH126,Max Fischer,Judo,Croatia
ATH127,Katarina Fischer127,Swimming,Mexico
ATH128,Lucas Taylor,Judo,United Kingdom
ATH129,Luis Bianchi129,Athletics,United Kingdom
ATH130,Luis Santos,Judo,Croatia
ATH131,Rafael Weber,Football,United States
ATH132,Maria Andersen132,Basketball,China
ATH133,Maria Dupont,Boxing,Netherlands
ATH134,Rafael Taylor134,Athletics,United Kingdom
ATH135,Emma Popescu135,Boxing,Netherlands
ATH136,Laura Leclerc,Swimming,Spain
ATH137,Lucas Hansen,Basketball,Switzerland
ATH138,Rafael Popescu,Boxing,India
ATH139,Ivan Kowalski139,Judo,Mexico
ATH140,Carlos Dupont,Football,Sweden
ATH141,Ana Morin,Basketball,France
ATH142,Lena Ferreira,Judo,Japan
ATH143,Thomas Hansen143,Judo,Serbia
ATH144,Chris Weber,Swimming,Mexico
ATH145,David Smith,Judo,Portugal
ATH146,David Bianchi,Judo,Austria
ATH147,Lucas Morin,Football,Denmark
ATH148,Ana Hansen,Basketball,Norway
ATH149,Julian Yamamoto,Basketball,India
ATH150,Thomas Novak,Judo,France
ATH151,Katarina Chen,Athletics,Belgium
ATH152,Julia Kowalski,Tennis,Greece
ATH153,Felix Russo,Boxing,Russia
ATH154,Nina Russo,Athletics,Italy
ATH155,Ivan Andersen,Tennis,Sweden
ATH156,Felix Taylor,Judo,Brazil
ATH157,Oliver Garcia,Swimming,Italy
ATH158,Carlos Chen,Cycling,Russia
ATH159,Elena Romano159,Judo,Greece
ATH160,Ana Hansen160,Football,Sweden
ATH161,Julian Ferreira,Judo,France
ATH162,Julia Garcia162,Basketball,Canada
ATH163,Sofia Fischer,Football,Spain
ATH164,Julian Chen,Athletics,Germany
ATH165,Maria Novak,Boxing,United States
ATH166,Lucas Kowalski,Athletics,Australia
ATH167,Lucas Popescu167,Swimming,Czech Republic
ATH168,Rafael Andersen,Swimming,Canada
ATH169,Carlos Martinez,Boxing,France
ATH170,Julian Dupont,Swimming,Canada
ATH171,Mia Nkosi,Basketball,Australia
ATH172,Chris Dupont,Cycling,France
ATH173,Elena Costa,Cycling,Norway
ATH174,Lena Taylor174,Basketball,South Korea
ATH175,Maria Chen,Football,France
ATH176,Viktor Novak,Athletics,Czech Republic
ATH177,Lena Garcia177,Cycling,Czech Republic
ATH178,Carlos Chen178,Athletics,Sweden
ATH179,Elena Costa179,Swimming,Sweden
ATH180,Laura Ferreira180,Judo,Czech Republic
ATH181,Ana Morin181,Cycling,Belgium
ATH182,Petra Smith,Swimming,Netherlands
ATH183,Petra Yamamoto183,Basketball,Sweden
ATH184,Nina Bianchi,Tennis,France
ATH185,Chris Bianchi,Boxing,Mexico
ATH186,Max Kowalski,Tennis,Spain
ATH187,Lena Chen,Boxing,Norway
ATH188,Chris Petit,Football,Serbia
ATH189,Chris Russo,Boxing,Brazil
ATH190,Rafael Kowalski,Athletics,Denmark
ATH191,Laura Rossi,Athletics,Serbia
ATH192,Chris Smith,Boxing,Denmark
ATH193,Mia Santos,Football,Norway
ATH194,Clara Nkosi,Boxing,Belgium
ATH195,David Martinez,Boxing,Croatia
ATH196,Elena Petit,Football,Canada
ATH197,Ivan Bianchi,Football,Norway
ATH198,Carlos Martinez198,Tennis,United Kingdom
ATH199,Sara Leclerc,Tennis,Spain
ATH200,Clara Kowalski,Judo,Czech Republic
ATH201,David Hernandez,Athletics,Sweden
ATH202,Petra Russo,Athletics,Belgium
ATH203,Nina Garcia203,Judo,India
ATH204,Clara Dupont,Basketball,Netherlands
ATH205,Chris Andersen,Basketball,Netherlands
ATH206,Sofia Romano,Tennis,South Korea
ATH207,Maria Bianchi,Cycling,Netherlands
ATH208,Viktor Garcia,Tennis,Argentina
ATH209,David Chen,Football,Austria
ATH210,Ivan Rossi,Boxing,Mexico
ATH211,Petra Martinez,Cycling,Argentina
ATH212,Lena Eriksson212,Boxing,France
ATH213,Lena Martinez,Cycling,Greece
ATH214,Carlos Santos,Basketball,Mexico
ATH215,Maria Morin215,Judo,Australia
ATH216,Sofia Novak,Swimming,Brazil
ATH217,Ana Ferreira,Athletics,United Kingdom
ATH218,Lucas Chen,Cycling,South Africa
ATH219,Oliver Weber,Boxing,Russia
ATH220,Ivan Morin,Tennis,Austria
ATH221,Luis Petit221,Boxing,Sweden
ATH222,Clara Novak,Judo,India
ATH223,Carlos Fischer,Tennis,Belgium
ATH224,Julia Nkosi,Basketball,Czech Republic
ATH225,Marco Dupont,Judo,Austria
ATH226,Lena Eriksson226,Tennis,Portugal
ATH227,Katarina Yamamoto,Boxing,France
ATH228,Mia Novak,Football,Croatia
ATH229,Carlos Hernandez,Football,Brazil
ATH230,Ana Ferreira230,Tennis,Russia
ATH231,Katarina Yamamoto231,Basketball,Greece
ATH232,Ana Yamamoto,Swimming,Brazil
ATH233,Thomas Popescu233,Athletics,Germany
ATH234,Carlos Leclerc,Tennis,Czech Republic
ATH235,Felix Hansen,Football,Belgium
ATH236,Chris Chen,Athletics,Argentina
ATH237,Lena Yamamoto,Tennis,Canada
ATH238,Chris Nkosi,Cycling,Portugal
ATH239,Ana Costa,Judo,Norway
ATH240,David Dupont,Judo,Belgium
ATH241,Felix Dupont,Tennis,Germany
ATH242,Rafael Hernandez,Athletics,Canada
ATH243,Petra Smith243,Judo,France
ATH244,Rafael Popescu244,Basketball,Norway
ATH245,Ana Dupont,Tennis,Austria
ATH246,Nina Müller,Basketball,Japan
ATH247,Julian Dupont247,Basketball,Norway
ATH248,Elena Morin,Tennis,Norway
ATH249,Viktor Hernandez,Basketball,Croatia
ATH250,Sara Andersen,Football,Italy
ATH251,Max Petit,Tennis,Russia
ATH252,Viktor Taylor,Cycling,Canada
ATH253,Maria Dupont253,Athletics,Spain
ATH254,Felix Hansen254,Cycling,Mexico
ATH255,Felix Smith,Boxing,Belgium
ATH256,Emma Fischer,Judo,Poland
ATH257,Sofia Yamamoto,Tennis,United Kingdom
ATH258,Rafael Smith,Basketball,Japan
ATH259,Oliver Russo,Football,South Korea
ATH260,Laura Ferreira260,Swimming,India
ATH261,Lucas Leclerc261,Football,Japan
ATH262,Laura Eriksson,Swimming,Spain
ATH263,Rafael Yamamoto,Tennis,Portugal
ATH264,Mia Eriksson,Cycling,Brazil
ATH265,Max Santos,Athletics,Russia
ATH266,Thomas Santos,Judo,Austria
ATH267,Luis Martinez,Football,Croatia
ATH268,Julia Ferreira,Football,Switzerland
ATH269,Sara Popescu,Football,Czech Republic
ATH270,Sofia Dupont,Tennis,Croatia
ATH271,Lena Yamamoto271,Tennis,South Africa
ATH272,Max Yamamoto,Cycling,Greece
ATH273,Viktor Andersen,Cycling,Brazil
ATH274,Lena Weber,Football,South Korea
ATH275,Petra Weber,Cycling,Serbia
ATH276,Julian Kowalski,Tennis,Mexico
ATH277,Emma Garcia,Football,Germany
ATH278,Carlos Novak,Swimming,Italy
ATH279,Laura Bianchi279,Football,Brazil
ATH280,Rafael Garcia,Cycling,Brazil
ATH281,Laura Kowalski,Boxing,Argentina
ATH282,Katarina Kowalski,Cycling,Canada
ATH283,Sofia Santos,Swimming,Spain
ATH284,Chris Chen284,Athletics,South Africa
ATH285,Carlos Romano285,Swimming,Austria
ATH286,Julian Russo,Athletics,Russia
ATH287,Thomas Santos287,Judo,Japan
ATH288,Elena Eriksson,Football,Russia
ATH289,Clara Kowalski289,Basketball,Portugal
ATH290,Luis Rossi,Swimming,Italy
ATH291,Lucas Hansen291,Cycling,Brazil
ATH292,Nina Hernandez,Football,Greece
ATH293,Thomas Andersen,Cycling,Czech Republic
ATH294,Rafael Costa,Cycling,Norway
ATH295,Julia Novak,Swimming,Japan
ATH296,Thomas Yamamoto,Boxing,France
ATH297,Julia Smith,Judo,China
ATH298,Ivan Weber,Judo,Germany
ATH299,Petra Petit,Athletics,Norway
ATH300,Sofia Taylor,Football,Serbia
