city,country,month,avg_temp_fahrenheit
Stockholm,Sweden,2023-02,16.7
Stockholm,Sweden,2023-03,26.4
Stockholm,Sweden,2023-04,43.2
Stockholm,Sweden,2023-05,60.3
Stockholm,Sweden,2023-06,71.8
Stockholm,Sweden,2023-07,78.8
Stockholm,Sweden,2023-08,73.2
Stockholm,Sweden,2023-09,61.5
Stockholm,Sweden,2023-10,45.7
Stockholm,Sweden,2023-11,28.4
Stockholm,Sweden,2023-12,14.2
Copenhagen,Denmark,2023-01,18.7
Copenhagen,Denmark,2023-02,23.5
Copenhagen,Denmark,2023-03,34.0
Copenhagen,Denmark,2023-04,48.0
Copenhagen,Denmark,2023-05,63.3
Copenhagen,Denmark,2023-06,75.6
Copenhagen,Denmark,2023-07,79.9
Copenhagen,Denmark,2023-08,77.0
Copenhagen,Denmark,2023-09,64.4
Copenhagen,Denmark,2023-10,50.0
Copenhagen,Denmark,2023-11,34.0
Copenhagen,Denmark,2023-12,22.3
Brussels,Belgium,2023-01,28.4
Brussels,Belgium,2023-02,32.7
Brussels,Belgium,2023-03,42.6
Brussels,Belgium,2023-04,55.6
Brussels,Belgium,2023-05,70.0
Brussels,Belgium,2023-06,79.9
Brussels,Belgium,2023-07,84.6
Brussels,Belgium,2023-08,79.7
Brussels,Belgium,2023-09,70.0
Brussels,Belgium,2023-10,56.7
Brussels,Belgium,2023-11,43.0
Brussels,Belgium,2023-12,30.6
Budapest,Hungary,2023-01,33.6
Budapest,Hungary,2023-02,37.4
Budapest,Hungary,2023-03,47.7
Budapest,Hungary,2023-04,59.4
Budapest,Hungary,2023-05,74.1
Budapest,Hungary,2023-06,82.4
Budapest,Hungary,2023-07,86.9
Budapest,Hungary,2023-08,82.4
Budapest,Hungary,2023-09,72.0
Budapest,Hungary,2023-10,60.1
Budapest,Hungary,2023-11,48.4
Budapest,Hungary,2023-12,36.9
Prague,Czech Republic,2023-01,28.6
Prague,Czech Republic,2023-02,31.5
Prague,Czech Republic,2023-03,44.2
Prague,Czech Republic,2023-04,57.4
Prague,Czech Republic,2023-05,70.0
Prague,Czech Republic,2023-06,80.1
Prague,Czech Republic,2023-07,84.2
Prague,Czech Republic,2023-08,81.1
Prague,Czech Republic,2023-09,71.6
Prague,Czech Republic,2023-10,57.2
Prague,Czech Republic,2023-11,41.9
Prague,Czech Republic,2023-12,32.0
Oslo,Norway,2023-01,9.0
Oslo,Norway,2023-02,13.3
Oslo,Norway,2023-03,26.8
Oslo,Norway,2023-04,44.6
Oslo,Norway,2023-05,61.2
Oslo,Norway,2023-06,71.4
Oslo,Norway,2023-07,75.9
Oslo,Norway,2023-08,73.9
Oslo,Norway,2023-09,59.2
Oslo,Norway,2023-10,43.3
Oslo,Norway,2023-11,26.6
Oslo,Norway,2023-12,13.5
Helsinki,Finland,2023-01,8.6
Helsinki,Finland,2023-02,14.2
Helsinki,Finland,2023-03,25.9
Helsinki,Finland,2023-04,44.2
Helsinki,Finland,2023-05,60.3
Helsinki,Finland,2023-06,72.9
Helsinki,Finland,2023-07,77.9
Helsinki,Finland,2023-08,73.4
Helsinki,Finland,2023-09,59.7
Helsinki,Finland,2023-10,41.7
Helsinki,Finland,2023-11,27.0
Helsinki,Finland,2023-12,13.1
Athens,Greece,2023-01,52.0
Athens,Greece,2023-02,56.3
Athens,Greece,2023-03,62.4
Athens,Greece,2023-04,72.1
Athens,Greece,2023-05,81.9
Athens,Greece,2023-06,91.6
Athens,Greece,2023-07,93.2
Athens,Greece,2023-08,90.9
Athens,Greece,2023-09,82.0
Athens,Greece,2023-10,72.5
Athens,Greece,2023-11,64.2
Athens,Greece,2023-12,56.7
Dublin,Ireland,2023-01,22.8
Dublin,Ireland,2023-02,25.7
Dublin,Ireland,2023-03,36.5
Dublin,Ireland,2023-04,52.3
Dublin,Ireland,2023-05,66.7
Dublin,Ireland,2023-06,77.2
Dublin,Ireland,2023-07,81.0
Dublin,Ireland,2023-08,77.7
Dublin,Ireland,2023-09,66.0
Dublin,Ireland,2023-10,52.0
Dublin,Ireland,2023-11,36.9
Dublin,Ireland,2023-12,25.7
Zurich,Switzerland,2023-01,34.2
Zurich,Switzerland,2023-02,37.6
Zurich,Switzerland,2023-03,46.8
Zurich,Switzerland,2023-04,61.2
Zurich,Switzerland,2023-05,73.4
Zurich,Switzerland,2023-06,83.1
Zurich,Switzerland,2023-07,87.1
Zurich,Switzerland,2023-08,81.7
Zurich,Switzerland,2023-09,72.3
Zurich,Switzerland,2023-10,61.0
Zurich,Switzerland,2023-11,47.8
Zurich,Switzerland,2023-12,38.8
Barcelona,Spain,2023-01,45.5
Barcelona,Spain,2023-02,48.7
Barcelona,Spain,2023-03,56.8
Barcelona,Spain,2023-04,69.4
Barcelona,Spain,2023-05,80.4
Barcelona,Spain,2023-06,86.9
Barcelona,Spain,2023-07,91.4
Barcelona,Spain,2023-08,87.4
Barcelona,Spain,2023-09,79.7
Barcelona,Spain,2023-10,69.6
Barcelona,Spain,2023-11,55.9
Barcelona,Spain,2023-12,49.1
Lyon,France,2023-01,38.5
Lyon,France,2023-02,39.6
Lyon,France,2023-03,49.6
Lyon,France,2023-04,63.0
Lyon,France,2023-05,75.6
Lyon,France,2023-06,84.4
Lyon,France,2023-07,86.0
Lyon,France,2023-08,84.7
Lyon,France,2023-09,74.3
Lyon,France,2023-10,63.3
Lyon,France,2023-11,49.8
Lyon,France,2023-12,40.3
Hamburg,Germany,2023-01,22.8
Hamburg,Germany,2023-02,25.2
Hamburg,Germany,2023-03,36.9
Hamburg,Germany,2023-04,52.3
Hamburg,Germany,2023-05,65.8
Hamburg,Germany,2023-06,78.8
Hamburg,Germany,2023-07,82.2
Hamburg,Germany,2023-08,77.4
Hamburg,Germany,2023-09,66.0
Hamburg,Germany,2023-10,51.8
Hamburg,Germany,2023-11,37.0
Hamburg,Germany,2023-12,25.7
Turin,Italy,2023-01,38.1
Turin,Italy,2023-02,43.5
Turin,Italy,2023-03,51.4
Turin,Italy,2023-04,62.1
Turin,Italy,2023-05,74.3
Turin,Italy,2023-06,84.2
Turin,Italy,2023-07,87.8
Turin,Italy,2023-08,83.5
Turin,Italy,2023-09,75.9
Turin,Italy,2023-10,62.1
Turin,Italy,2023-11,50.7
Turin,Italy,2023-12,43.0
Rotterdam,Netherlands,2023-01,24.6
Rotterdam,Netherlands,2023-02,29.7
Rotterdam,Netherlands,2023-03,38.8
Rotterdam,Netherlands,2023-04,53.6
Rotterdam,Netherlands,2023-05,69.6
Rotterdam,Netherlands,2023-06,80.2
Rotterdam,Netherlands,2023-07,82.6
Rotterdam,Netherlands,2023-08,77.7
Rotterdam,Netherlands,2023-09,68.7
Rotterdam,Netherlands,2023-10,53.6
Rotterdam,Netherlands,2023-11,40.3
Rotterdam,Netherlands,2023-12,29.7
Krakow,Poland,2023-01,28.4
Krakow,Poland,2023-02,32.0
Krakow,Poland,2023-03,43.3
Krakow,Poland,2023-04,57.6
Krakow,Poland,2023-05,70.9
Krakow,Poland,2023-06,79.5
Krakow,Poland,2023-07,84.6
Krakow,Poland,2023-08,79.9
Krakow,Poland,2023-09,71.1
Krakow,Poland,2023-10,55.8
Krakow,Poland,2023-11,42.6
Krakow,Poland,2023-12,31.6
Porto,Portugal,2023-01,47.1
Porto,Portugal,2023-02,50.0
Porto,Portugal,2023-03,56.3
Porto,Portugal,2023-04,69.1
Porto,Portugal,2023-05,79.2
Porto,Portugal,2023-06,86.7
Porto,Portugal,2023-07,91.2
Porto,Portugal,2023-08,86.7
Porto,Portugal,2023-09,79.7
Porto,Portugal,2023-10,69.6
Porto,Portugal,2023-11,56.3
Porto,Portugal,2023-12,49.8
Gothenburg,Sweden,2023-01,15.1
Gothenburg,Sweden,2023-02,17.6
Gothenburg,Sweden,2023-03,31.3
Gothenburg,Sweden,2023-04,45.1
Gothenburg,Sweden,2023-05,63.0
Gothenburg,Sweden,2023-06,73.4
Gothenburg,Sweden,2023-07,77.7
Gothenburg,Sweden,2023-08,75.6
Gothenburg,Sweden,2023-09,61.5
Gothenburg,Sweden,2023-10,45.1
Gothenburg,Sweden,2023-11,30.9
Gothenburg,Sweden,2023-12,18.5
Aarhus,Denmark,2023-01,18.1
Aarhus,Denmark,2023-02,20.1
Aarhus,Denmark,2023-03,32.4
Aarhus,Denmark,2023-04,47.3
Aarhus,Denmark,2023-05,63.9
Aarhus,Denmark,2023-06,75.4
Aarhus,Denmark,2023-07,79.7
Aarhus,Denmark,2023-08,75.2
Aarhus,Denmark,2023-09,65.1
Aarhus,Denmark,2023-10,47.3
Aarhus,Denmark,2023-11,32.9
Aarhus,Denmark,2023-12,21.4
Ghent,Belgium,2023-01,26.6
Ghent,Belgium,2023-02,31.1
Ghent,Belgium,2023-03,41.0
Ghent,Belgium,2023-04,56.8
Ghent,Belgium,2023-05,70.2
Ghent,Belgium,2023-06,80.6
Ghent,Belgium,2023-07,84.0
Ghent,Belgium,2023-08,78.4
Ghent,Belgium,2023-09,69.1
Ghent,Belgium,2023-10,55.6
Ghent,Belgium,2023-11,41.4
Ghent,Belgium,2023-12,32.4
Salzburg,Austria,2023-01,33.4
Salzburg,Austria,2023-02,37.2
Salzburg,Austria,2023-03,46.0
Salzburg,Austria,2023-04,59.2
Salzburg,Austria,2023-05,72.3
Salzburg,Austria,2023-06,82.9
Salzburg,Austria,2023-07,85.5
Salzburg,Austria,2023-08,82.0
Salzburg,Austria,2023-09,74.1
Salzburg,Austria,2023-10,59.4
Salzburg,Austria,2023-11,46.2
Salzburg,Austria,2023-12,37.9
