player_id,player_name,sport,season,season_avg_points
PLAY054,Sebastian Klein,Tennis,2022-2023,2111
PLAY055,Boris Wilander,Football,2022-2023,2586
PLAY056,Holger Zverev,Football,2022-2023,400
PLAY057,Rafael Auger-Aliassime,Athletics,2022-2023,1059
PLAY058,Pablo Rune,Basketball,2022-2023,2275
PLAY059,Tomas Bublik,Boxing,2022-2023,767
PLAY060,Stefanos Berdych,Tennis,2022-2023,1778
PLAY061,Sebastian Troicki,Judo,2022-2023,549
PLAY062,Francis Becker,Boxing,2022-2023,745
PLAY063,Denis Bublik,Cycling,2022-2023,2623
PLAY064,Stefanos Edberg,Tennis,2022-2023,2286
PLAY065,Alexander Djokovic,Judo,2022-2023,2293
PLAY066,Viktor Wilander,Swimming,2022-2023,1623
PLAY067,Francis Nadal,Basketball,2022-2023,2301
PLAY068,Lorenzo Rublev,Swimming,2022-2023,1910
PLAY069,Rafael Edberg,Cycling,2022-2023,718
PLAY070,Andrey Wawrinka,Tennis,2022-2023,1834
PLAY071,Rafael Rune,Athletics,2022-2023,1186
PLAY072,David Musetti,Cycling,2022-2023,2465
PLAY073,Grigor Fritz,Tennis,2022-2023,1237
PLAY074,Tomas Schwartzman,Judo,2022-2023,2310
PLAY075,Denis Sinner,Football,2022-2023,263
PLAY076,Rafael Wilander,Basketball,2022-2023,2812
PLAY077,Lucas Rublev,Swimming,2022-2023,1598
PLAY078,Lorenzo Auger-Aliassime,Basketball,2022-2023,585
PLAY079,Dominic Wilander,Cycling,2022-2023,477
PLAY080,Rafael Thiem,Basketball,2022-2023,1104
PLAY081,Lucas Rune,Judo,2022-2023,2742
PLAY082,Jannik Medvedev,Tennis,2022-2023,162
PLAY083,Nicolas Auger-Aliassime,Swimming,2022-2023,454
PLAY084,Tommy Wawrinka,Cycling,2022-2023,2174
PLAY085,Taylor Lendl,Football,2022-2023,1360
PLAY086,Francis Wawrinka,Judo,2022-2023,440
PLAY087,Taylor Rune,Basketball,2022-2023,1480
PLAY088,Stefanos Shapovalov,Football,2022-2023,752
PLAY089,Viktor Shapovalov,Swimming,2022-2023,286
PLAY090,Felix Humbert,Judo,2022-2023,1941
PLAY091,Nicolas Dimitrov,Football,2022-2023,2175
PLAY092,Jannik Edberg,Football,2022-2023,1699
PLAY093,Novak Lendl,Boxing,2022-2023,955
PLAY094,Tommy Djokovic,Judo,2022-2023,2656
PLAY095,Tommy Rossi,Cycling,2022-2023,2498
PLAY096,Tomas Tsitsipas,Cycling,2022-2023,190
PLAY097,Pablo Musetti,Boxing,2022-2023,1710
PLAY098,Holger Medvedev,Boxing,2022-2023,859
PLAY099,Novak Rune,Cycling,2022-2023,378
PLAY100,Marco Musetti,Boxing,2022-2023,1394
PLAY101,Lorenzo Tiafoe,Boxing,2022-2023,1882
PLAY102,Diego Becker,Cycling,2022-2023,2836
PLAY103,Viktor Tiafoe,Judo,2022-2023,2561
PLAY104,Felix Tiafoe,Football,2022-2023,1541
PLAY105,Rafael Lendl,Judo,2022-2023,686
PLAY106,Dominic Humbert,Football,2022-2023,1282
PLAY107,Felix Rossi,Boxing,2022-2023,1315
PLAY108,Tommy Sinner,Boxing,2022-2023,2133
PLAY109,Lucas Edberg,Athletics,2022-2023,3326
PLAY110,Rafael Djokovic,Basketball,2022-2023,875
PLAY111,Marco Bublik,Basketball,2022-2023,1177
PLAY112,Stefanos Alcaraz,Football,2022-2023,1797
PLAY113,Alexander Thiem,Swimming,2022-2023,408
PLAY114,Diego Troicki,Boxing,2022-2023,2492
PLAY115,Nicolas Tiafoe,Tennis,2022-2023,120
PLAY116,Rafael Zverev,Boxing,2022-2023,2483
PLAY117,Novak Berrettini,Athletics,2022-2023,3250
PLAY118,Sebastian Bublik,Football,2022-2023,1666
PLAY119,Felix Auger-Aliassime,Judo,2022-2023,2070
PLAY120,Taylor Klein,Boxing,2022-2023,2655
