employee_id,department,gender
EMP0188,Sales,Female
EMP0189,Sales,Male
EMP0190,Engineering,Male
EMP0191,HR,Male
EMP0192,Marketing,Male
EMP0193,Marketing,Female
EMP0194,Sales,Male
EMP0195,Product,Female
EMP0196,Product,Female
EMP0197,Sales,Male
EMP0198,HR,Female
EMP0199,Sales,Female
EMP0200,Sales,Male
EMP0201,HR,Male
EMP0202,HR,Female
EMP0203,Engineering,Female
EMP0204,Finance,Male
EMP0205,Legal,Female
EMP0206,HR,Female
EMP0207,Sales,Female
EMP0208,Operations,Male
EMP0209,Marketing,Female
EMP0210,Finance,Male
EMP0211,Legal,Male
EMP0212,Engineering,Male
EMP0213,Legal,Female
EMP0214,Operations,Female
EMP0215,Finance,Male
EMP0216,Marketing,Male
EMP0217,Engineering,Male
EMP0218,Operations,Female
EMP0219,Engineering,Female
EMP0220,Sales,Female
EMP0221,Marketing,Female
EMP0222,Engineering,Male
EMP0223,HR,Female
EMP0224,Finance,Male
EMP0225,Finance,Non-binary
EMP0226,Marketing,Non-binary
EMP0227,HR,Male
EMP0228,Operations,Female
EMP0229,Legal,Female
EMP0230,Operations,Female
EMP0231,HR,Female
EMP0232,Legal,Female
EMP0233,Operations,Male
EMP0234,Engineering,Female
EMP0235,HR,Male
EMP0236,Operations,Female
EMP0237,Legal,Female
EMP0238,HR,Male
EMP0239,Engineering,Female
EMP0240,Product,Male
EMP0241,Finance,Male
EMP0242,Legal,Male
EMP0243,Sales,Male
EMP0244,Product,Female
EMP0245,Sales,Male
EMP0246,Marketing,Female
EMP0247,Product,Male
EMP0248,Marketing,Female
EMP0249,Legal,Male
EMP0250,Finance,Female
