product_id,product_name,brand,category,annual_sales_usd,units_sold
PROD107,Sparkling Water T19,Zara,Food & Beverage,1668323,17772
PROD108,Air Purifier W99,IKEA,Home & Garden,881729,5652
PROD109,Cordless Drill H28,Samsung,Home & Garden,23038901,376553
PROD110,Tablet Pro H32,Siemens,Electronics,3579275,105719
PROD111,Robot Vacuum R41,LG,Home & Garden,2011154,27872
PROD112,Air Purifier Z69,Siemens,Home & Garden,4619776,94243
PROD113,Resistance Bands Y66,Heinz,Sports Equipment,3304070,17636
PROD114,Dumbbells R67kg,Bosch,Sports Equipment,9367295,56613
PROD115,Cordless Drill I41,P&G,Home & Garden,4137841,30876
PROD116,Dumbbells U40kg,P&G,Sports Equipment,4055298,22929
PROD117,Robot Vacuum W46,Unilever,Home & Garden,1959581,11900
PROD118,Training Tee K79,Sony,Apparel,6392941,119309
PROD119,Coffee Blend H59,Philips,Food & Beverage,1424610,7885
PROD120,Energy Drink Pack N62,Adidas,Food & Beverage,7777512,66428
PROD121,Dumbbells N17kg,Nestlé,Sports Equipment,18321293,110810
PROD122,Cordless Drill Y84,Samsung,Home & Garden,872648,4813
PROD123,Dumbbells P10kg,Puma,Sports Equipment,340811,4412
PROD124,Performance Shorts N78,3M,Apparel,7406037,186037
PROD125,Yoga Mat Pro P38,P&G,Sports Equipment,50935880,834626
PROD126,Cordless Drill A59,Adidas,Home & Garden,1472252,15196
PROD127,Air Purifier O26,Heinz,Home & Garden,1147261,6859
PROD128,Fitness Tracker M85,Colgate,Sports Equipment,7202480,41173
PROD129,Smart TV U64,Philips,Electronics,1727661,81296
PROD130,Air Purifier B43,IKEA,Home & Garden,2413284,21559
PROD131,Sports Jacket O51,Adidas,Apparel,2825462,29699
PROD132,Smart Thermostat Y63,P&G,Home & Garden,6804197,113442
PROD133,Tablet Pro A79,Apple,Electronics,2668638,64187
PROD134,Sports Jacket U18,Apple,Apparel,5279238,65360
PROD135,Laptop Model G12,Heinz,Electronics,3353525,17675
PROD136,Coffee Blend E70,LG,Food & Beverage,1720861,22012
PROD137,Yoga Mat Pro O99,P&G,Sports Equipment,2906422,25633
PROD138,Sports Jacket T87,LG,Apparel,1548438,10566
PROD139,Protein Bar D84,Samsung,Food & Beverage,4026107,47114
PROD140,Performance Shorts M35,Sony,Apparel,1302163,6680
PROD141,Yoga Mat Pro D99,Nike,Sports Equipment,1343065,6950
PROD142,Fitness Tracker Z82,Apple,Sports Equipment,17136034,262336
PROD143,Performance Shorts V57,Sony,Apparel,3793108,34638
PROD144,Resistance Bands A63,Panasonic,Sports Equipment,3790390,51112
PROD145,Tablet Pro L91,Zara,Electronics,6666553,93537
PROD146,Sparkling Water F76,P&G,Food & Beverage,2627508,98631
PROD147,Dumbbells O65kg,Colgate,Sports Equipment,3183827,24543
PROD148,Training Tee H21,P&G,Apparel,6115571,55353
PROD149,Air Purifier Y69,Colgate,Home & Garden,5303189,181205
PROD150,Dumbbells K13kg,Panasonic,Sports Equipment,1256898,17915
PROD151,Sports Jacket P37,Puma,Apparel,9193084,50101
PROD152,Training Tee I86,P&G,Apparel,2218207,35142
PROD153,Fitness Tracker Q34,Sony,Sports Equipment,1393359,30237
PROD154,Sparkling Water P81,Unilever,Food & Beverage,1627589,15056
PROD155,Cordless Drill O12,Sony,Home & Garden,2708255,13718
PROD156,Sports Jacket M98,Unilever,Apparel,20313377,319543
PROD157,Training Tee P80,Siemens,Apparel,1236680,8771
PROD158,Performance Shorts X80,Adidas,Apparel,4693330,29876
PROD159,Performance Shorts I49,P&G,Apparel,473080,7536
PROD160,Energy Drink Pack X34,Adidas,Food & Beverage,3993746,26434
PROD161,Smartphone Y98 Plus,Bosch,Electronics,9821570,113938
PROD162,Coffee Blend X71,P&G,Food & Beverage,3158090,23600
PROD163,Resistance Bands D34,Nike,Sports Equipment,2133651,15918
PROD164,Protein Bar F48,Samsung,Food & Beverage,5040352,43287
PROD165,Yoga Mat Pro I15,Apple,Sports Equipment,8048213,222006
PROD166,Resistance Bands W26,Panasonic,Sports Equipment,7760197,45553
PROD167,Smart TV S46,Panasonic,Electronics,28673180,368832
PROD168,Cordless Drill K33,Apple,Home & Garden,4929138,92007
PROD169,Performance Shorts D18,IKEA,Apparel,2213836,80975
PROD170,Robot Vacuum S90,Apple,Home & Garden,3527164,27913
PROD171,Coffee Blend Z82,Nike,Food & Beverage,3720652,26208
PROD172,Laptop Model D81,H&M,Electronics,4458788,193980
PROD173,Yoga Mat Pro Y76,IKEA,Sports Equipment,3881839,34604
PROD174,Cordless Drill J85,H&M,Home & Garden,4758882,78310
PROD175,Running Shoes T22,Nestlé,Apparel,754138,5539
PROD176,Protein Bar V20,Bosch,Food & Beverage,9159055,178240
PROD177,Coffee Blend R19,Bosch,Food & Beverage,2253247,15607
PROD178,Tablet Pro O98,Heinz,Electronics,1239619,13833
PROD179,Smart Thermostat B39,Nike,Home & Garden,7562019,40093
PROD180,Performance Shorts C97,Unilever,Apparel,14905739,333061
PROD181,Sports Jacket N24,3M,Apparel,6544474,80406
PROD182,Coffee Blend I28,Sony,Food & Beverage,4698411,116224
PROD183,Laptop Model Z49,Heinz,Electronics,1576804,8457
PROD184,Resistance Bands O25,Zara,Sports Equipment,70370678,395516
PROD185,Performance Shorts I74,3M,Apparel,9634021,145026
PROD186,Cordless Drill C86,Apple,Home & Garden,1282255,9238
PROD187,Smart Thermostat T42,Samsung,Home & Garden,1836323,10989
PROD188,Laptop Model V83,Colgate,Electronics,4362956,36377
PROD189,Wireless Headphones S15,Bosch,Electronics,846855,7342
PROD190,Cordless Drill I33,Colgate,Home & Garden,4733594,74505
PROD191,Cordless Drill C70,Puma,Home & Garden,2529131,68803
PROD192,Smart Thermostat K95,LG,Home & Garden,13610213,74987
PROD193,Protein Bar N98,Panasonic,Food & Beverage,10454999,57421
PROD194,Performance Shorts Y80,Apple,Apparel,266832,1991
PROD195,Robot Vacuum K42,Adidas,Home & Garden,4170090,51466
PROD196,Tablet Pro Q10,3M,Electronics,795430,9599
PROD197,Cordless Drill B34,Siemens,Home & Garden,12113903,80399
PROD198,Performance Shorts U66,Apple,Apparel,4731115,26069
PROD199,Protein Bar R26,Nike,Food & Beverage,6916567,38494
PROD200,Cordless Drill D13,Heinz,Home & Garden,1380830,8609
