player_id,player_name,nationality,sport,ranking_points,world_rank
PLAY108,Tommy Sinner,Portugal,Boxing,2259,68
PLAY109,Lucas Edberg,Croatia,Athletics,2840,18
PLAY110,Rafael Djokovic,Poland,Basketball,833,74
PLAY111,Marco Bublik,India,Basketball,1055,10
PLAY112,Stefanos Alcaraz,Japan,Football,2071,98
PLAY113,Alexander Thiem,Poland,Swimming,361,57
PLAY114,Diego Troicki,Spain,Boxing,2163,115
PLAY115,Nicolas Tiafoe,Germany,Tennis,121,48
PLAY116,Rafael Zverev,Serbia,Boxing,2392,58
PLAY117,Novak Berrettini,Portugal,Athletics,2968,87
PLAY118,Sebastian Bublik,Croatia,Football,1888,20
PLAY119,Felix Auger-Aliassime,Argentina,Judo,2069,78
PLAY120,Taylor Klein,Brazil,Boxing,2756,5
