athlete_id,athlete_name,sport,nationality_iso2
ATH069,Julia Martinez,Athletics,CN
ATH070,Luis Müller,Judo,ZA
ATH071,Petra Bianchi,Athletics,MX
ATH072,Maria Hansen72,Athletics,NO
ATH073,Chris Novak,Athletics,FR
ATH074,Sofia Russo,Cycling,IT
ATH075,Emma Kowalski,Boxing,DK
ATH076,Luis Bianchi,Judo,KR
ATH077,Katarina Morin,Swimming,IT
ATH078,Max Eriksson,Swimming,CA
ATH079,Maria Morin,Judo,BR
ATH080,Mia Costa,Tennis,KR
ATH081,Elena Romano,Judo,RU
ATH082,Thomas Popescu,Swimming,PT
ATH083,Ana Chen,Basketball,NL
ATH084,Emma Russo,Cycling,AT
ATH085,Lucas Costa,Basketball,KR
ATH086,Petra Yamamoto,Basketball,GB
ATH087,Mia Fischer,Judo,IN
ATH088,Julia Taylor,Football,RU
ATH089,Carlos Bianchi,Tennis,GB
ATH090,Luis Hansen,Athletics,PT
ATH091,Ana Nkosi,Basketball,CA
ATH092,David Kowalski,Tennis,CZ
ATH093,Julian Costa,Swimming,FR
ATH094,Felix Müller,Boxing,BE
ATH095,Mia Hernandez,Boxing,IN
ATH096,Katarina Weber,Football,CA
ATH097,Carlos Romano,Swimming,AU
ATH098,Luis Hernandez,Cycling,HR
ATH099,Nina Andersen,Judo,RU
ATH100,Luis Eriksson,Basketball,IN
ATH101,David Santos,Boxing,IN
ATH102,Ana Müller,Football,SE
ATH103,Julian Weber,Swimming,DK
ATH104,Oliver Novak,Cycling,JP
ATH105,Ana Taylor,Boxing,SE
ATH106,Oliver Nkosi,Swimming,KR
ATH107,Carlos Garcia,Boxing,IN
ATH108,Elena Romano108,Boxing,KR
ATH109,Katarina Fischer,Athletics,PT
ATH110,Katarina Müller,Football,MX
ATH111,Marco Russo111,Football,PT
ATH112,Maria Müller,Athletics,KR
ATH113,Viktor Popescu,Tennis,CH
ATH114,Viktor Nkosi,Cycling,AR
ATH115,Emma Popescu,Swimming,JP
ATH116,Luis Hernandez116,Cycling,PT
ATH117,Maria Nkosi,Cycling,PT
ATH118,Chris Costa,Judo,NL
ATH119,Maria Smith,Basketball,GR
ATH120,Chris Fischer,Athletics,DE
ATH121,Rafael Fischer,Swimming,IN
ATH122,Lena Santos,Athletics,HR
ATH123,Emma Petit123,Basketball,PT
ATH124,Felix Novak,Basketball,PT
ATH125,Julia Chen,Judo,CH
ATH126,Max Fischer,Judo,HR
ATH127,Katarina Fischer127,Swimming,MX
ATH128,Lucas Taylor,Judo,GB
ATH129,Luis Bianchi129,Athletics,GB
ATH130,Luis Santos,Judo,HR
ATH131,Rafael Weber,Football,US
ATH132,Maria Andersen132,Basketball,CN
ATH133,Maria Dupont,Boxing,NL
ATH134,Rafael Taylor134,Athletics,GB
ATH135,Emma Popescu135,Boxing,NL
ATH136,Laura Leclerc,Swimming,ES
ATH137,Lucas Hansen,Basketball,CH
ATH138,Rafael Popescu,Boxing,IN
ATH139,Ivan Kowalski139,Judo,MX
ATH140,Carlos Dupont,Football,SE
ATH141,Ana Morin,Basketball,FR
ATH142,Lena Ferreira,Judo,JP
ATH143,Thomas Hansen143,Judo,RS
ATH144,Chris Weber,Swimming,MX
ATH145,David Smith,Judo,PT
ATH146,David Bianchi,Judo,AT
ATH147,Lucas Morin,Football,DK
ATH148,Ana Hansen,Basketball,NO
ATH149,Julian Yamamoto,Basketball,IN
ATH150,Thomas Novak,Judo,FR
ATH151,Katarina Chen,Athletics,BE
ATH152,Julia Kowalski,Tennis,GR
ATH153,Felix Russo,Boxing,RU
ATH154,Nina Russo,Athletics,IT
ATH155,Ivan Andersen,Tennis,SE
ATH156,Felix Taylor,Judo,BR
ATH157,Oliver Garcia,Swimming,IT
ATH158,Carlos Chen,Cycling,RU
ATH159,Elena Romano159,Judo,GR
ATH160,Ana Hansen160,Football,SE
ATH161,Julian Ferreira,Judo,FR
ATH162,Julia Garcia162,Basketball,CA
ATH163,Sofia Fischer,Football,ES
ATH164,Julian Chen,Athletics,DE
ATH165,Maria Novak,Boxing,US
ATH166,Lucas Kowalski,Athletics,AU
ATH167,Lucas Popescu167,Swimming,CZ
ATH168,Rafael Andersen,Swimming,CA
ATH169,Carlos Martinez,Boxing,FR
ATH170,Julian Dupont,Swimming,CA
ATH171,Mia Nkosi,Basketball,AU
ATH172,Chris Dupont,Cycling,FR
ATH173,Elena Costa,Cycling,NO
ATH174,Lena Taylor174,Basketball,KR
ATH175,Maria Chen,Football,FR
ATH176,Viktor Novak,Athletics,CZ
ATH177,Lena Garcia177,Cycling,CZ
ATH178,Carlos Chen178,Athletics,SE
ATH179,Elena Costa179,Swimming,SE
ATH180,Laura Ferreira180,Judo,CZ
ATH181,Ana Morin181,Cycling,BE
ATH182,Petra Smith,Swimming,NL
ATH183,Petra Yamamoto183,Basketball,SE
ATH184,Nina Bianchi,Tennis,FR
ATH185,Chris Bianchi,Boxing,MX
ATH186,Max Kowalski,Tennis,ES
ATH187,Lena Chen,Boxing,NO
ATH188,Chris Petit,Football,RS
ATH189,Chris Russo,Boxing,BR
ATH190,Rafael Kowalski,Athletics,DK
ATH191,Laura Rossi,Athletics,RS
ATH192,Chris Smith,Boxing,DK
ATH193,Mia Santos,Football,NO
ATH194,Clara Nkosi,Boxing,BE
ATH195,David Martinez,Boxing,HR
ATH196,Elena Petit,Football,CA
ATH197,Ivan Bianchi,Football,NO
ATH198,Carlos Martinez198,Tennis,GB
ATH199,Sara Leclerc,Tennis,ES
ATH200,Clara Kowalski,Judo,CZ
ATH201,David Hernandez,Athletics,SE
ATH202,Petra Russo,Athletics,BE
ATH203,Nina Garcia203,Judo,IN
ATH204,Clara Dupont,Basketball,NL
ATH205,Chris Andersen,Basketball,NL
ATH206,Sofia Romano,Tennis,KR
ATH207,Maria Bianchi,Cycling,NL
ATH208,Viktor Garcia,Tennis,AR
ATH209,David Chen,Football,AT
ATH210,Ivan Rossi,Boxing,MX
ATH211,Petra Martinez,Cycling,AR
ATH212,Lena Eriksson212,Boxing,FR
ATH213,Lena Martinez,Cycling,GR
ATH214,Carlos Santos,Basketball,MX
ATH215,Maria Morin215,Judo,AU
ATH216,Sofia Novak,Swimming,BR
ATH217,Ana Ferreira,Athletics,GB
ATH218,Lucas Chen,Cycling,ZA
ATH219,Oliver Weber,Boxing,RU
ATH220,Ivan Morin,Tennis,AT
ATH221,Luis Petit221,Boxing,SE
ATH222,Clara Novak,Judo,IN
ATH223,Carlos Fischer,Tennis,BE
ATH224,Julia Nkosi,Basketball,CZ
ATH225,Marco Dupont,Judo,AT
ATH226,Lena Eriksson226,Tennis,PT
ATH227,Katarina Yamamoto,Boxing,FR
ATH228,Mia Novak,Football,HR
ATH229,Carlos Hernandez,Football,BR
ATH230,Ana Ferreira230,Tennis,RU
ATH231,Katarina Yamamoto231,Basketball,GR
ATH232,Ana Yamamoto,Swimming,BR
ATH233,Thomas Popescu233,Athletics,DE
ATH234,Carlos Leclerc,Tennis,CZ
ATH235,Felix Hansen,Football,BE
ATH236,Chris Chen,Athletics,AR
ATH237,Lena Yamamoto,Tennis,CA
ATH238,Chris Nkosi,Cycling,PT
ATH239,Ana Costa,Judo,NO
ATH240,David Dupont,Judo,BE
ATH241,Felix Dupont,Tennis,DE
ATH242,Rafael Hernandez,Athletics,CA
ATH243,Petra Smith243,Judo,FR
ATH244,Rafael Popescu244,Basketball,NO
ATH245,Ana Dupont,Tennis,AT
ATH246,Nina Müller,Basketball,JP
ATH247,Julian Dupont247,Basketball,NO
ATH248,Elena Morin,Tennis,NO
ATH249,Viktor Hernandez,Basketball,HR
ATH250,Sara Andersen,Football,IT
ATH251,Max Petit,Tennis,RU
ATH252,Viktor Taylor,Cycling,CA
ATH253,Maria Dupont253,Athletics,ES
ATH254,Felix Hansen254,Cycling,MX
ATH255,Felix Smith,Boxing,BE
ATH256,Emma Fischer,Judo,PL
ATH257,Sofia Yamamoto,Tennis,GB
ATH258,Rafael Smith,Basketball,JP
ATH259,Oliver Russo,Football,KR
ATH260,Laura Ferreira260,Swimming,IN
ATH261,Lucas Leclerc261,Football,JP
ATH262,Laura Eriksson,Swimming,ES
ATH263,Rafael Yamamoto,Tennis,PT
ATH264,Mia Eriksson,Cycling,BR
ATH265,Max Santos,Athletics,RU
ATH266,Thomas Santos,Judo,AT
ATH267,Luis Martinez,Football,HR
ATH268,Julia Ferreira,Football,CH
ATH269,Sara Popescu,Football,CZ
ATH270,Sofia Dupont,Tennis,HR
ATH271,Lena Yamamoto271,Tennis,ZA
ATH272,Max Yamamoto,Cycling,GR
ATH273,Viktor Andersen,Cycling,BR
ATH274,Lena Weber,Football,KR
ATH275,Petra Weber,Cycling,RS
ATH276,Julian Kowalski,Tennis,MX
ATH277,Emma Garcia,Football,DE
ATH278,Carlos Novak,Swimming,IT
ATH279,Laura Bianchi279,Football,BR
ATH280,Rafael Garcia,Cycling,BR
ATH281,Laura Kowalski,Boxing,AR
ATH282,Katarina Kowalski,Cycling,CA
ATH283,Sofia Santos,Swimming,ES
ATH284,Chris Chen284,Athletics,ZA
ATH285,Carlos Romano285,Swimming,AT
ATH286,Julian Russo,Athletics,RU
ATH287,Thomas Santos287,Judo,JP
ATH288,Elena Eriksson,Football,RU
ATH289,Clara Kowalski289,Basketball,PT
ATH290,Luis Rossi,Swimming,IT
ATH291,Lucas Hansen291,Cycling,BR
ATH292,Nina Hernandez,Football,GR
ATH293,Thomas Andersen,Cycling,CZ
ATH294,Rafael Costa,Cycling,NO
ATH295,Julia Novak,Swimming,JP
ATH296,Thomas Yamamoto,Boxing,FR
ATH297,Julia Smith,Judo,CN
ATH298,Ivan Weber,Judo,DE
ATH299,Petra Petit,Athletics,NO
ATH300,Sofia Taylor,Football,RS
