product_id,product_name,brand,category,report_week,weekly_sales_usd
PROD068,Robot Vacuum C78,Nestlé,Home & Garden,2023-W01,1654549
PROD069,Resistance Bands E54,Sony,Sports Equipment,2023-W01,150195
PROD070,Protein Bar J30,Zara,Food & Beverage,2023-W01,1025787
PROD071,Resistance Bands T93,Siemens,Sports Equipment,2023-W01,2639829
PROD072,Smartphone J94 Plus,LG,Electronics,2023-W01,666726
PROD073,Protein Bar D23,3M,Food & Beverage,2023-W01,338922
PROD074,Protein Bar J87,Nestlé,Food & Beverage,2023-W01,1770797
PROD075,Sports Jacket V91,P&G,Apparel,2023-W01,1051659
PROD076,Dumbbells I16kg,Sony,Sports Equipment,2023-W01,2230165
PROD077,Smart Thermostat B10,Adidas,Home & Garden,2023-W01,543282
PROD078,Protein Bar F66,3M,Food & Beverage,2023-W01,185447
PROD079,Robot Vacuum D19,Philips,Home & Garden,2023-W01,814855
PROD080,Fitness Tracker L84,3M,Sports Equipment,2023-W01,571623
PROD081,Sparkling Water E15,Nike,Food & Beverage,2023-W01,1917595
PROD082,Running Shoes L36,Unilever,Apparel,2023-W01,959918
PROD083,Wireless Headphones Y81,H&M,Electronics,2023-W01,152399
PROD084,Yoga Mat Pro H30,Bosch,Sports Equipment,2023-W01,260559
PROD085,Robot Vacuum F52,H&M,Home & Garden,2023-W01,2182092
PROD086,Protein Bar F99,LG,Food & Beverage,2023-W01,1657736
PROD087,Robot Vacuum P38,Nestlé,Home & Garden,2023-W01,444971
PROD088,Smart Thermostat J39,Unilever,Home & Garden,2023-W01,793991
PROD089,Laptop Model M52,P&G,Electronics,2023-W01,1367251
PROD090,Wireless Headphones L92,Siemens,Electronics,2023-W01,1244169
PROD091,Smart Thermostat A24,P&G,Home & Garden,2023-W01,1924105
PROD092,Protein Bar B23,Heinz,Food & Beverage,2023-W01,1058086
PROD093,Smart Thermostat X50,H&M,Home & Garden,2023-W01,757443
PROD094,Fitness Tracker M83,Nestlé,Sports Equipment,2023-W01,608957
PROD095,Running Shoes W65,Samsung,Apparel,2023-W01,2202175
PROD096,Yoga Mat Pro L65,Sony,Sports Equipment,2023-W01,89778
PROD097,Training Tee V25,Nike,Apparel,2023-W01,693305
PROD098,Resistance Bands V62,Adidas,Sports Equipment,2023-W01,873223
PROD099,Smart Thermostat R26,Nestlé,Home & Garden,2023-W01,186450
PROD100,Cordless Drill V32,Heinz,Home & Garden,2023-W01,1154800
PROD101,Resistance Bands M80,Samsung,Sports Equipment,2023-W01,436707
PROD102,Training Tee G65,Colgate,Apparel,2023-W01,1790821
PROD103,Resistance Bands O66,Zara,Sports Equipment,2023-W01,709445
PROD104,Sparkling Water Z31,Sony,Food & Beverage,2023-W01,1503265
PROD105,Training Tee C40,Nike,Apparel,2023-W01,2562800
PROD106,Coffee Blend E13,Apple,Food & Beverage,2023-W01,1338077
PROD107,Sparkling Water T19,Zara,Food & Beverage,2023-W01,334444
PROD108,Air Purifier W99,IKEA,Home & Garden,2023-W01,194627
PROD109,Cordless Drill H28,Samsung,Home & Garden,2023-W01,4553696
PROD110,Tablet Pro H32,Siemens,Electronics,2023-W01,770966
PROD111,Robot Vacuum R41,LG,Home & Garden,2023-W01,439779
PROD112,Air Purifier Z69,Siemens,Home & Garden,2023-W01,978597
PROD113,Resistance Bands Y66,Heinz,Sports Equipment,2023-W01,682854
PROD114,Dumbbells R67kg,Bosch,Sports Equipment,2023-W01,1912683
PROD115,Cordless Drill I41,P&G,Home & Garden,2023-W01,834062
PROD116,Dumbbells U40kg,P&G,Sports Equipment,2023-W01,915312
PROD117,Robot Vacuum W46,Unilever,Home & Garden,2023-W01,434235
PROD118,Training Tee K79,Sony,Apparel,2023-W01,1452371
PROD119,Coffee Blend H59,Philips,Food & Beverage,2023-W01,273858
PROD120,Energy Drink Pack N62,Adidas,Food & Beverage,2023-W01,1691215
PROD121,Dumbbells N17kg,Nestlé,Sports Equipment,2023-W01,4141971
PROD122,Cordless Drill Y84,Samsung,Home & Garden,2023-W01,169818
PROD123,Dumbbells P10kg,Puma,Sports Equipment,2023-W01,64696
PROD124,Performance Shorts N78,3M,Apparel,2023-W01,1613595
PROD125,Yoga Mat Pro P38,P&G,Sports Equipment,2023-W01,10744825
PROD126,Cordless Drill A59,Adidas,Home & Garden,2023-W01,326931
PROD127,Air Purifier O26,Heinz,Home & Garden,2023-W01,221280
PROD128,Fitness Tracker M85,Colgate,Sports Equipment,2023-W01,1585457
PROD129,Smart TV U64,Philips,Electronics,2023-W01,337669
PROD130,Air Purifier B43,IKEA,Home & Garden,2023-W01,467863
PROD131,Sports Jacket O51,Adidas,Apparel,2023-W01,547844
PROD132,Smart Thermostat Y63,P&G,Home & Garden,2023-W01,1503245
PROD133,Tablet Pro A79,Apple,Electronics,2023-W01,573008
PROD134,Sports Jacket U18,Apple,Apparel,2023-W01,1102363
PROD135,Laptop Model G12,Heinz,Electronics,2023-W01,677357
PROD136,Coffee Blend E70,LG,Food & Beverage,2023-W01,384668
PROD137,Yoga Mat Pro O99,P&G,Sports Equipment,2023-W01,591111
PROD138,Sports Jacket T87,LG,Apparel,2023-W01,342225
PROD139,Protein Bar D84,Samsung,Food & Beverage,2023-W01,826648
PROD140,Performance Shorts M35,Sony,Apparel,2023-W01,263996
PROD141,Yoga Mat Pro D99,Nike,Sports Equipment,2023-W01,277075
PROD142,Fitness Tracker Z82,Apple,Sports Equipment,2023-W01,3420273
PROD143,Performance Shorts V57,Sony,Apparel,2023-W01,827449
PROD144,Resistance Bands A63,Panasonic,Sports Equipment,2023-W01,788269
PROD145,Tablet Pro L91,Zara,Electronics,2023-W01,1311445
PROD146,Sparkling Water F76,P&G,Food & Beverage,2023-W01,589777
PROD147,Dumbbells O65kg,Colgate,Sports Equipment,2023-W01,646398
PROD148,Training Tee H21,P&G,Apparel,2023-W01,1282207
PROD149,Air Purifier Y69,Colgate,Home & Garden,2023-W01,1191888
PROD150,Dumbbells K13kg,Panasonic,Sports Equipment,2023-W01,267740
PROD151,Sports Jacket P37,Puma,Apparel,2023-W01,1764396
PROD152,Training Tee I86,P&G,Apparel,2023-W01,501616
PROD153,Fitness Tracker Q34,Sony,Sports Equipment,2023-W01,297009
PROD154,Sparkling Water P81,Unilever,Food & Beverage,2023-W01,327127
PROD155,Cordless Drill O12,Sony,Home & Garden,2023-W01,522304
PROD156,Sports Jacket M98,Unilever,Apparel,2023-W01,4470465
PROD157,Training Tee P80,Siemens,Apparel,2023-W01,263219
PROD158,Performance Shorts X80,Adidas,Apparel,2023-W01,982047
PROD159,Performance Shorts I49,P&G,Apparel,2023-W01,106077
PROD160,Energy Drink Pack X34,Adidas,Food & Beverage,2023-W01,878022
PROD161,Smartphone Y98 Plus,Bosch,Electronics,2023-W01,1899218
PROD162,Coffee Blend X71,P&G,Food & Beverage,2023-W01,631698
PROD163,Resistance Bands D34,Nike,Sports Equipment,2023-W01,421175
PROD164,Protein Bar F48,Samsung,Food & Beverage,2023-W01,1098762
PROD165,Yoga Mat Pro I15,Apple,Sports Equipment,2023-W01,1516773
PROD166,Resistance Bands W26,Panasonic,Sports Equipment,2023-W01,1635520
PROD167,Smart TV S46,Panasonic,Electronics,2023-W01,6272622
PROD168,Cordless Drill K33,Apple,Home & Garden,2023-W01,1101733
PROD169,Performance Shorts D18,IKEA,Apparel,2023-W01,445617
PROD170,Robot Vacuum S90,Apple,Home & Garden,2023-W01,780233
PROD171,Coffee Blend Z82,Nike,Food & Beverage,2023-W01,713122
PROD172,Laptop Model D81,H&M,Electronics,2023-W01,990985
PROD173,Yoga Mat Pro Y76,IKEA,Sports Equipment,2023-W01,746736
PROD174,Cordless Drill J85,H&M,Home & Garden,2023-W01,968824
PROD175,Running Shoes T22,Nestlé,Apparel,2023-W01,166069
PROD176,Protein Bar V20,Bosch,Food & Beverage,2023-W01,1770437
PROD177,Coffee Blend R19,Bosch,Food & Beverage,2023-W01,442981
PROD178,Tablet Pro O98,Heinz,Electronics,2023-W01,269110
PROD179,Smart Thermostat B39,Nike,Home & Garden,2023-W01,1640952
PROD180,Performance Shorts C97,Unilever,Apparel,2023-W01,3185651
PROD181,Sports Jacket N24,3M,Apparel,2023-W01,1413048
PROD182,Coffee Blend I28,Sony,Food & Beverage,2023-W01,984919
PROD183,Laptop Model Z49,Heinz,Electronics,2023-W01,311472
PROD184,Resistance Bands O25,Zara,Sports Equipment,2023-W01,14175308
PROD185,Performance Shorts I74,3M,Apparel,2023-W01,1874935
PROD186,Cordless Drill C86,Apple,Home & Garden,2023-W01,288291
PROD187,Smart Thermostat T42,Samsung,Home & Garden,2023-W01,388049
PROD188,Laptop Model V83,Colgate,Electronics,2023-W01,888867
PROD189,Wireless Headphones S15,Bosch,Electronics,2023-W01,174683
PROD190,Cordless Drill I33,Colgate,Home & Garden,2023-W01,1071903
PROD191,Cordless Drill C70,Puma,Home & Garden,2023-W01,489239
PROD192,Smart Thermostat K95,LG,Home & Garden,2023-W01,2877699
PROD193,Protein Bar N98,Panasonic,Food & Beverage,2023-W01,2175653
PROD194,Performance Shorts Y80,Apple,Apparel,2023-W01,56697
PROD195,Robot Vacuum K42,Adidas,Home & Garden,2023-W01,783225
PROD196,Tablet Pro Q10,3M,Electronics,2023-W01,177636
PROD197,Cordless Drill B34,Siemens,Home & Garden,2023-W01,2735507
PROD198,Performance Shorts U66,Apple,Apparel,2023-W01,996182
PROD199,Protein Bar R26,Nike,Food & Beverage,2023-W01,1494165
PROD200,Cordless Drill D13,Heinz,Home & Garden,2023-W01,311260
