player_id,player_name,nationality,sport,points_norm,rank_percentile
PLAY045,Dominic Shapovalov,Poland,Football,40.4,0.2
PLAY046,Rafael Bublik,Argentina,Football,87.1,0.02
PLAY047,Taylor Auger-Aliassime,Russia,Swimming,37.0,0.01
PLAY048,Jannik Lendl,Russia,Basketball,60.4,0.96
PLAY049,Carlos Auger-Aliassime,Austria,Boxing,21.4,0.68
PLAY050,Nicolas Djokovic,Serbia,Football,23.8,0.49
PLAY051,Felix Berrettini,Japan,Judo,39.3,0.54
PLAY052,Boris Troicki,Croatia,Boxing,61.4,0.57
PLAY053,Lucas Medvedev,Germany,Judo,72.3,0.76
PLAY054,Sebastian Klein,Greece,Tennis,79.4,0.28
PLAY055,Boris Wilander,France,Football,85.7,0.03
PLAY056,Holger Zverev,United States,Football,15.7,0.15
PLAY057,Rafael Auger-Aliassime,Croatia,Athletics,36.2,0.08
PLAY058,Pablo Rune,Czech Republic,Basketball,69.9,0.99
PLAY059,Tomas Bublik,Poland,Boxing,27.2,0.16
PLAY060,Stefanos Berdych,Croatia,Tennis,56.3,0.29
PLAY061,Sebastian Troicki,Brazil,Judo,16.7,0.47
PLAY062,Francis Becker,Canada,Boxing,21.7,0.38
PLAY063,Denis Bublik,Norway,Cycling,97.3,0.12
PLAY064,Stefanos Edberg,United Kingdom,Tennis,79.6,0.3
PLAY065,Alexander Djokovic,Canada,Judo,88.0,0.14
PLAY066,Viktor Wilander,China,Swimming,46.3,0.77
PLAY067,Francis Nadal,Greece,Basketball,66.9,0.46
PLAY068,Lorenzo Rublev,Canada,Swimming,63.2,0.12
PLAY069,Rafael Edberg,Denmark,Cycling,21.5,0.34
PLAY070,Andrey Wawrinka,China,Tennis,61.1,0.83
PLAY071,Rafael Rune,Netherlands,Athletics,38.1,0.68
PLAY072,David Musetti,Serbia,Cycling,97.1,0.69
PLAY073,Grigor Fritz,United Kingdom,Tennis,38.0,0.42
PLAY074,Tomas Schwartzman,South Korea,Judo,89.5,0.42
PLAY075,Denis Sinner,Netherlands,Football,7.9,0.93
PLAY076,Rafael Wilander,Portugal,Basketball,85.7,0.63
PLAY077,Lucas Rublev,Sweden,Swimming,49.9,0.13
PLAY078,Lorenzo Auger-Aliassime,Italy,Basketball,23.6,0.91
PLAY079,Dominic Wilander,Canada,Cycling,17.2,0.07
PLAY080,Rafael Thiem,Argentina,Basketball,40.5,0.82
PLAY081,Lucas Rune,Croatia,Judo,96.9,0.26
PLAY082,Jannik Medvedev,Italy,Tennis,6.4,0.08
PLAY083,Nicolas Auger-Aliassime,Australia,Swimming,13.2,0.1
PLAY084,Tommy Wawrinka,Croatia,Cycling,71.6,0.23
PLAY085,Taylor Lendl,Argentina,Football,49.1,0.79
PLAY086,Francis Wawrinka,United Kingdom,Judo,15.3,0.48
PLAY087,Taylor Rune,Italy,Basketball,50.6,0.7
PLAY088,Stefanos Shapovalov,France,Football,24.4,0.35
PLAY089,Viktor Shapovalov,Japan,Swimming,9.6,0.78
PLAY090,Felix Humbert,Serbia,Judo,56.6,0.04
PLAY091,Nicolas Dimitrov,China,Football,73.1,0.24
PLAY092,Jannik Edberg,Norway,Football,48.5,0.72
PLAY093,Novak Lendl,Czech Republic,Boxing,28.5,0.88
PLAY094,Tommy Djokovic,Argentina,Judo,99.6,0.41
PLAY095,Tommy Rossi,China,Cycling,72.6,0.59
PLAY096,Tomas Tsitsipas,India,Cycling,7.4,0.45
PLAY097,Pablo Musetti,United States,Boxing,51.5,0.48
PLAY098,Holger Medvedev,Mexico,Boxing,30.1,0.81
PLAY099,Novak Rune,Canada,Cycling,11.2,0.22
PLAY100,Marco Musetti,South Africa,Boxing,41.3,0.98
PLAY101,Lorenzo Tiafoe,Switzerland,Boxing,56.9,0.88
PLAY102,Diego Becker,Denmark,Cycling,86.2,0.74
PLAY103,Viktor Tiafoe,Canada,Judo,92.4,0.71
PLAY104,Felix Tiafoe,Brazil,Football,60.9,0.31
PLAY105,Rafael Lendl,South Korea,Judo,23.9,0.67
PLAY106,Dominic Humbert,United States,Football,48.8,0.58
PLAY107,Felix Rossi,Poland,Boxing,41.2,0.62
PLAY108,Tommy Sinner,Portugal,Boxing,75.8,0.44
PLAY109,Lucas Edberg,Croatia,Athletics,95.3,0.86
PLAY110,Rafael Djokovic,Poland,Basketball,28.0,0.39
PLAY111,Marco Bublik,India,Basketball,35.4,0.92
PLAY112,Stefanos Alcaraz,Japan,Football,69.5,0.19
PLAY113,Alexander Thiem,Poland,Swimming,12.1,0.53
PLAY114,Diego Troicki,Spain,Boxing,72.6,0.05
PLAY115,Nicolas Tiafoe,Germany,Tennis,4.1,0.61
PLAY116,Rafael Zverev,Serbia,Boxing,80.3,0.52
PLAY117,Novak Berrettini,Portugal,Athletics,99.6,0.28
PLAY118,Sebastian Bublik,Croatia,Football,63.4,0.84
PLAY119,Felix Auger-Aliassime,Argentina,Judo,69.4,0.36
PLAY120,Taylor Klein,Brazil,Boxing,92.5,0.97
