player_id,player_name,sport,career_span,career_total_points
PLAY062,Francis Becker,Boxing,2015-2023,6074
PLAY063,Denis Bublik,Cycling,2015-2023,25256
PLAY064,Stefanos Edberg,Tennis,2015-2023,22159
PLAY065,Alexander Djokovic,Judo,2015-2023,19537
PLAY066,Viktor Wilander,Swimming,2015-2023,8189
PLAY067,Francis Nadal,Basketball,2015-2023,15345
PLAY068,Lorenzo Rublev,Swimming,2015-2023,13778
PLAY069,Rafael Edberg,Cycling,2015-2023,5681
PLAY070,Andrey Wawrinka,Tennis,2015-2023,10729
PLAY071,Rafael Rune,Athletics,2015-2023,8466
PLAY072,David Musetti,Cycling,2015-2023,17647
PLAY073,Grigor Fritz,Tennis,2015-2023,7702
PLAY074,Tomas Schwartzman,Judo,2015-2023,22543
PLAY075,Denis Sinner,Football,2015-2023,1747
PLAY076,Rafael Wilander,Basketball,2015-2023,17880
PLAY077,Lucas Rublev,Swimming,2015-2023,10524
PLAY078,Lorenzo Auger-Aliassime,Basketball,2015-2023,5158
PLAY079,Dominic Wilander,Cycling,2015-2023,4440
PLAY080,Rafael Thiem,Basketball,2015-2023,10945
PLAY081,Lucas Rune,Judo,2015-2023,26920
PLAY082,Jannik Medvedev,Tennis,2015-2023,1651
PLAY083,Nicolas Auger-Aliassime,Swimming,2015-2023,2657
PLAY084,Tommy Wawrinka,Cycling,2015-2023,17602
PLAY085,Taylor Lendl,Football,2015-2023,10607
PLAY086,Francis Wawrinka,Judo,2015-2023,2979
PLAY087,Taylor Rune,Basketball,2015-2023,13375
PLAY088,Stefanos Shapovalov,Football,2015-2023,4104
PLAY089,Viktor Shapovalov,Swimming,2015-2023,2595
PLAY090,Felix Humbert,Judo,2015-2023,12392
PLAY091,Nicolas Dimitrov,Football,2015-2023,17530
PLAY092,Jannik Edberg,Football,2015-2023,11750
PLAY093,Novak Lendl,Boxing,2015-2023,7700
PLAY094,Tommy Djokovic,Judo,2015-2023,23882
PLAY095,Tommy Rossi,Cycling,2015-2023,17208
PLAY096,Tomas Tsitsipas,Cycling,2015-2023,1274
PLAY097,Pablo Musetti,Boxing,2015-2023,11625
PLAY098,Holger Medvedev,Boxing,2015-2023,5478
PLAY099,Novak Rune,Cycling,2015-2023,2813
PLAY100,Marco Musetti,Boxing,2015-2023,9292
PLAY101,Lorenzo Tiafoe,Boxing,2015-2023,13942
PLAY102,Diego Becker,Cycling,2015-2023,14552
PLAY103,Viktor Tiafoe,Judo,2015-2023,16086
PLAY104,Felix Tiafoe,Football,2015-2023,15183
PLAY105,Rafael Lendl,Judo,2015-2023,4115
PLAY106,Dominic Humbert,Football,2015-2023,8405
PLAY107,Felix Rossi,Boxing,2015-2023,6819
PLAY108,Tommy Sinner,Boxing,2015-2023,21067
PLAY109,Lucas Edberg,Athletics,2015-2023,23998
PLAY110,Rafael Djokovic,Basketball,2015-2023,5758
PLAY111,Marco Bublik,Basketball,2015-2023,7053
PLAY112,Stefanos Alcaraz,Football,2015-2023,14287
PLAY113,Alexander Thiem,Swimming,2015-2023,3104
PLAY114,Diego Troicki,Boxing,2015-2023,17618
PLAY115,Nicolas Tiafoe,Tennis,2015-2023,755
PLAY116,Rafael Zverev,Boxing,2015-2023,14821
PLAY117,Novak Berrettini,Athletics,2015-2023,17492
PLAY118,Sebastian Bublik,Football,2015-2023,15370
PLAY119,Felix Auger-Aliassime,Judo,2015-2023,17705
PLAY120,Taylor Klein,Boxing,2015-2023,18079
