player_id,player_name,sport,report_month,monthly_avg_points
PLAY087,Taylor Rune,Basketball,2023-06,1518
PLAY088,Stefanos Shapovalov,Football,2023-06,762
PLAY089,Viktor Shapovalov,Swimming,2023-06,258
PLAY090,Felix Humbert,Judo,2023-06,1714
PLAY091,Nicolas Dimitrov,Football,2023-06,2050
PLAY092,Jannik Edberg,Football,2023-06,1604
PLAY093,Novak Lendl,Boxing,2023-06,844
PLAY094,Tommy Djokovic,Judo,2023-06,3185
PLAY095,Tommy Rossi,Cycling,2023-06,2189
PLAY096,Tomas Tsitsipas,Cycling,2023-06,196
PLAY097,Pablo Musetti,Boxing,2023-06,1584
PLAY098,Holger Medvedev,Boxing,2023-06,995
PLAY099,Novak Rune,Cycling,2023-06,341
PLAY100,Marco Musetti,Boxing,2023-06,1325
PLAY101,Lorenzo Tiafoe,Boxing,2023-06,1852
PLAY102,Diego Becker,Cycling,2023-06,2400
PLAY103,Viktor Tiafoe,Judo,2023-06,2564
PLAY104,Felix Tiafoe,Football,2023-06,1863
PLAY105,Rafael Lendl,Judo,2023-06,695
PLAY106,Dominic Humbert,Football,2023-06,1571
PLAY107,Felix Rossi,Boxing,2023-06,1346
PLAY108,Tommy Sinner,Boxing,2023-06,2179
PLAY109,Lucas Edberg,Athletics,2023-06,2660
PLAY110,Rafael Djokovic,Basketball,2023-06,889
PLAY111,Marco Bublik,Basketball,2023-06,997
PLAY112,Stefanos Alcaraz,Football,2023-06,2231
PLAY113,Alexander Thiem,Swimming,2023-06,354
PLAY114,Diego Troicki,Boxing,2023-06,2249
PLAY115,Nicolas Tiafoe,Tennis,2023-06,109
PLAY116,Rafael Zverev,Boxing,2023-06,2463
PLAY117,Novak Berrettini,Athletics,2023-06,2933
PLAY118,Sebastian Bublik,Football,2023-06,1927
PLAY119,Felix Auger-Aliassime,Judo,2023-06,1904
PLAY120,Taylor Klein,Boxing,2023-06,2912
