city,country,month,avg_temp_celsius
Amsterdam,Netherlands,2023-01,-4.3
Amsterdam,Netherlands,2023-02,-2.2
Amsterdam,Netherlands,2023-03,3.8
Amsterdam,Netherlands,2023-04,11.7
Amsterdam,Netherlands,2023-05,20.6
Amsterdam,Netherlands,2023-06,26.6
Amsterdam,Netherlands,2023-07,27.5
Amsterdam,Netherlands,2023-08,25.4
Amsterdam,Netherlands,2023-09,20.0
Amsterdam,Netherlands,2023-10,11.4
Amsterdam,Netherlands,2023-11,4.4
Amsterdam,Netherlands,2023-12,-2.8
Warsaw,Poland,2023-01,-4.7
Warsaw,Poland,2023-02,-2.0
Warsaw,Poland,2023-03,4.2
Warsaw,Poland,2023-04,11.5
Warsaw,Poland,2023-05,19.6
Warsaw,Poland,2023-06,25.2
Warsaw,Poland,2023-07,27.4
Warsaw,Poland,2023-08,25.5
Warsaw,Poland,2023-09,20.0
Warsaw,Poland,2023-10,12.0
Warsaw,Poland,2023-11,4.5
Warsaw,Poland,2023-12,-2.4
Vienna,Austria,2023-01,1.1
Vienna,Austria,2023-02,2.9
Vienna,Austria,2023-03,7.6
Vienna,Austria,2023-04,15.6
Vienna,Austria,2023-05,22.3
Vienna,Austria,2023-06,27.6
Vienna,Austria,2023-07,30.2
Vienna,Austria,2023-08,27.9
Vienna,Austria,2023-09,22.2
Vienna,Austria,2023-10,15.6
Vienna,Austria,2023-11,7.4
Vienna,Austria,2023-12,2.8
Lisbon,Portugal,2023-01,10.4
Lisbon,Portugal,2023-02,12.7
Lisbon,Portugal,2023-03,16.1
Lisbon,Portugal,2023-04,21.6
Lisbon,Portugal,2023-05,28.5
Lisbon,Portugal,2023-06,32.7
Lisbon,Portugal,2023-07,33.9
Lisbon,Portugal,2023-08,32.1
Lisbon,Portugal,2023-09,27.5
Lisbon,Portugal,2023-10,22.2
Lisbon,Portugal,2023-11,16.2
Lisbon,Portugal,2023-12,12.0
Stockholm,Sweden,2023-01,-11.4
Stockholm,Sweden,2023-02,-8.5
Stockholm,Sweden,2023-03,-3.1
Stockholm,Sweden,2023-04,6.2
Stockholm,Sweden,2023-05,15.7
Stockholm,Sweden,2023-06,22.1
Stockholm,Sweden,2023-07,26.0
Stockholm,Sweden,2023-08,22.9
Stockholm,Sweden,2023-09,16.4
Stockholm,Sweden,2023-10,7.6
Stockholm,Sweden,2023-11,-2.0
Stockholm,Sweden,2023-12,-9.9
Copenhagen,Denmark,2023-01,-7.4
Copenhagen,Denmark,2023-02,-4.7
Copenhagen,Denmark,2023-03,1.1
Copenhagen,Denmark,2023-04,8.9
Copenhagen,Denmark,2023-05,17.4
Copenhagen,Denmark,2023-06,24.2
Copenhagen,Denmark,2023-07,26.6
Copenhagen,Denmark,2023-08,25.0
Copenhagen,Denmark,2023-09,18.0
Copenhagen,Denmark,2023-10,10.0
Copenhagen,Denmark,2023-11,1.1
Copenhagen,Denmark,2023-12,-5.4
Brussels,Belgium,2023-01,-2.0
Brussels,Belgium,2023-02,0.4
Brussels,Belgium,2023-03,5.9
Brussels,Belgium,2023-04,13.1
Brussels,Belgium,2023-05,21.1
Brussels,Belgium,2023-06,26.6
Brussels,Belgium,2023-07,29.2
Brussels,Belgium,2023-08,26.5
Brussels,Belgium,2023-09,21.1
Brussels,Belgium,2023-10,13.7
Brussels,Belgium,2023-11,6.1
Brussels,Belgium,2023-12,-0.8
Budapest,Hungary,2023-01,0.9
Budapest,Hungary,2023-02,3.0
Budapest,Hungary,2023-03,8.7
Budapest,Hungary,2023-04,15.2
Budapest,Hungary,2023-05,23.4
Budapest,Hungary,2023-06,28.0
Budapest,Hungary,2023-07,30.5
Budapest,Hungary,2023-08,28.0
Budapest,Hungary,2023-09,22.2
Budapest,Hungary,2023-10,15.6
Budapest,Hungary,2023-11,9.1
Budapest,Hungary,2023-12,2.7
Prague,Czech Republic,2023-01,-1.9
Prague,Czech Republic,2023-02,-0.3
Prague,Czech Republic,2023-03,6.8
Prague,Czech Republic,2023-04,14.1
Prague,Czech Republic,2023-05,21.1
Prague,Czech Republic,2023-06,26.7
Prague,Czech Republic,2023-07,29.0
Prague,Czech Republic,2023-08,27.3
Prague,Czech Republic,2023-09,22.0
Prague,Czech Republic,2023-10,14.0
Prague,Czech Republic,2023-11,5.5
Prague,Czech Republic,2023-12,0.0
Oslo,Norway,2023-01,-12.8
Oslo,Norway,2023-02,-10.4
Oslo,Norway,2023-03,-2.9
Oslo,Norway,2023-04,7.0
Oslo,Norway,2023-05,16.2
Oslo,Norway,2023-06,21.9
Oslo,Norway,2023-07,24.4
Oslo,Norway,2023-08,23.3
Oslo,Norway,2023-09,15.1
Oslo,Norway,2023-10,6.3
Oslo,Norway,2023-11,-3.0
Oslo,Norway,2023-12,-10.3
Helsinki,Finland,2023-01,-13.0
Helsinki,Finland,2023-02,-9.9
Helsinki,Finland,2023-03,-3.4
Helsinki,Finland,2023-04,6.8
Helsinki,Finland,2023-05,15.7
Helsinki,Finland,2023-06,22.7
Helsinki,Finland,2023-07,25.5
Helsinki,Finland,2023-08,23.0
Helsinki,Finland,2023-09,15.4
Helsinki,Finland,2023-10,5.4
Helsinki,Finland,2023-11,-2.8
Helsinki,Finland,2023-12,-10.5
Athens,Greece,2023-01,11.1
Athens,Greece,2023-02,13.5
Athens,Greece,2023-03,16.9
Athens,Greece,2023-04,22.3
Athens,Greece,2023-05,27.7
Athens,Greece,2023-06,33.1
Athens,Greece,2023-07,34.0
Athens,Greece,2023-08,32.7
Athens,Greece,2023-09,27.8
Athens,Greece,2023-10,22.5
Athens,Greece,2023-11,17.9
Athens,Greece,2023-12,13.7
Dublin,Ireland,2023-01,-5.1
Dublin,Ireland,2023-02,-3.5
Dublin,Ireland,2023-03,2.5
Dublin,Ireland,2023-04,11.3
Dublin,Ireland,2023-05,19.3
Dublin,Ireland,2023-06,25.1
Dublin,Ireland,2023-07,27.2
Dublin,Ireland,2023-08,25.4
Dublin,Ireland,2023-09,18.9
Dublin,Ireland,2023-10,11.1
Dublin,Ireland,2023-11,2.7
Dublin,Ireland,2023-12,-3.5
Zurich,Switzerland,2023-01,1.2
Zurich,Switzerland,2023-02,3.1
Zurich,Switzerland,2023-03,8.2
Zurich,Switzerland,2023-04,16.2
Zurich,Switzerland,2023-05,23.0
Zurich,Switzerland,2023-06,28.4
Zurich,Switzerland,2023-07,30.6
Zurich,Switzerland,2023-08,27.6
Zurich,Switzerland,2023-09,22.4
Zurich,Switzerland,2023-10,16.1
Zurich,Switzerland,2023-11,8.8
Zurich,Switzerland,2023-12,3.8
Barcelona,Spain,2023-01,7.5
Barcelona,Spain,2023-02,9.3
Barcelona,Spain,2023-03,13.8
Barcelona,Spain,2023-04,20.8
Barcelona,Spain,2023-05,26.9
Barcelona,Spain,2023-06,30.5
Barcelona,Spain,2023-07,33.0
Barcelona,Spain,2023-08,30.8
Barcelona,Spain,2023-09,26.5
Barcelona,Spain,2023-10,20.9
Barcelona,Spain,2023-11,13.3
Barcelona,Spain,2023-12,9.5
Lyon,France,2023-01,3.6
Lyon,France,2023-02,4.2
Lyon,France,2023-03,9.8
Lyon,France,2023-04,17.2
Lyon,France,2023-05,24.2
Lyon,France,2023-06,29.1
Lyon,France,2023-07,30.0
Lyon,France,2023-08,29.3
Lyon,France,2023-09,23.5
Lyon,France,2023-10,17.4
Lyon,France,2023-11,9.9
Lyon,France,2023-12,4.6
Hamburg,Germany,2023-01,-5.1
Hamburg,Germany,2023-02,-3.8
Hamburg,Germany,2023-03,2.7
Hamburg,Germany,2023-04,11.3
Hamburg,Germany,2023-05,18.8
Hamburg,Germany,2023-06,26.0
Hamburg,Germany,2023-07,27.9
Hamburg,Germany,2023-08,25.2
Hamburg,Germany,2023-09,18.9
Hamburg,Germany,2023-10,11.0
Hamburg,Germany,2023-11,2.8
Hamburg,Germany,2023-12,-3.5
Turin,Italy,2023-01,3.4
Turin,Italy,2023-02,6.4
Turin,Italy,2023-03,10.8
Turin,Italy,2023-04,16.7
Turin,Italy,2023-05,23.5
Turin,Italy,2023-06,29.0
Turin,Italy,2023-07,31.0
Turin,Italy,2023-08,28.6
Turin,Italy,2023-09,24.4
Turin,Italy,2023-10,16.7
Turin,Italy,2023-11,10.4
Turin,Italy,2023-12,6.1
Rotterdam,Netherlands,2023-01,-4.1
Rotterdam,Netherlands,2023-02,-1.3
Rotterdam,Netherlands,2023-03,3.8
Rotterdam,Netherlands,2023-04,12.0
Rotterdam,Netherlands,2023-05,20.9
Rotterdam,Netherlands,2023-06,26.8
Rotterdam,Netherlands,2023-07,28.1
Rotterdam,Netherlands,2023-08,25.4
Rotterdam,Netherlands,2023-09,20.4
Rotterdam,Netherlands,2023-10,12.0
Rotterdam,Netherlands,2023-11,4.6
Rotterdam,Netherlands,2023-12,-1.3
Krakow,Poland,2023-01,-2.0
Krakow,Poland,2023-02,0.0
Krakow,Poland,2023-03,6.3
Krakow,Poland,2023-04,14.2
Krakow,Poland,2023-05,21.6
Krakow,Poland,2023-06,26.4
Krakow,Poland,2023-07,29.2
Krakow,Poland,2023-08,26.6
Krakow,Poland,2023-09,21.7
Krakow,Poland,2023-10,13.2
Krakow,Poland,2023-11,5.9
Krakow,Poland,2023-12,-0.2
Porto,Portugal,2023-01,8.4
Porto,Portugal,2023-02,10.0
Porto,Portugal,2023-03,13.5
Porto,Portugal,2023-04,20.6
Porto,Portugal,2023-05,26.2
Porto,Portugal,2023-06,30.4
Porto,Portugal,2023-07,32.9
Porto,Portugal,2023-08,30.4
Porto,Portugal,2023-09,26.5
Porto,Portugal,2023-10,20.9
Porto,Portugal,2023-11,13.5
Porto,Portugal,2023-12,9.9
Gothenburg,Sweden,2023-01,-9.4
Gothenburg,Sweden,2023-02,-8.0
Gothenburg,Sweden,2023-03,-0.4
Gothenburg,Sweden,2023-04,7.3
Gothenburg,Sweden,2023-05,17.2
Gothenburg,Sweden,2023-06,23.0
Gothenburg,Sweden,2023-07,25.4
Gothenburg,Sweden,2023-08,24.2
Gothenburg,Sweden,2023-09,16.4
Gothenburg,Sweden,2023-10,7.3
Gothenburg,Sweden,2023-11,-0.6
Gothenburg,Sweden,2023-12,-7.5
Aarhus,Denmark,2023-01,-7.7
Aarhus,Denmark,2023-02,-6.6
Aarhus,Denmark,2023-03,0.2
Aarhus,Denmark,2023-04,8.5
Aarhus,Denmark,2023-05,17.7
Aarhus,Denmark,2023-06,24.1
Aarhus,Denmark,2023-07,26.5
Aarhus,Denmark,2023-08,24.0
Aarhus,Denmark,2023-09,18.4
Aarhus,Denmark,2023-10,8.5
Aarhus,Denmark,2023-11,0.5
Aarhus,Denmark,2023-12,-5.9
Ghent,Belgium,2023-01,-3.0
Ghent,Belgium,2023-02,-0.5
Ghent,Belgium,2023-03,5.0
Ghent,Belgium,2023-04,13.8
Ghent,Belgium,2023-05,21.2
Ghent,Belgium,2023-06,27.0
Ghent,Belgium,2023-07,28.9
Ghent,Belgium,2023-08,25.8
Ghent,Belgium,2023-09,20.6
Ghent,Belgium,2023-10,13.1
Ghent,Belgium,2023-11,5.2
Ghent,Belgium,2023-12,0.2
Salzburg,Austria,2023-01,0.8
Salzburg,Austria,2023-02,2.9
Salzburg,Austria,2023-03,7.8
Salzburg,Austria,2023-04,15.1
Salzburg,Austria,2023-05,22.4
Salzburg,Austria,2023-06,28.3
Salzburg,Austria,2023-07,29.7
Salzburg,Austria,2023-08,27.8
Salzburg,Austria,2023-09,23.4
Salzburg,Austria,2023-10,15.2
Salzburg,Austria,2023-11,7.9
Salzburg,Austria,2023-12,3.3
