respondent_id,age_group,country,gender_abbr
R0170,35-44,Czech Republic,M
R0171,18-24,Portugal,F
R0172,65+,France,F
R0173,18-24,Australia,M
R0174,35-44,Netherlands,M
R0175,45-54,Argentina,F
R0176,18-24,United States,M
R0177,18-24,France,M
R0178,65+,Canada,F
R0179,35-44,Poland,M
R0180,55-64,Italy,M
R0181,25-34,Australia,F
R0182,35-44,Canada,F
R0183,18-24,Italy,M
R0184,18-24,Sweden,F
R0185,25-34,Canada,NB
R0186,65+,Netherlands,M
R0187,55-64,Portugal,F
R0188,35-44,Argentina,F
R0189,35-44,Brazil,F
R0190,45-54,Germany,F
R0191,25-34,Norway,M
R0192,18-24,Switzerland,M
R0193,25-34,Brazil,F
R0194,45-54,Italy,F
R0195,55-64,Norway,M
R0196,35-44,Poland,M
R0197,25-34,Sweden,NB
R0198,25-34,France,F
R0199,25-34,Czech Republic,M
R0200,65+,Australia,F
R0201,55-64,Netherlands,NB
R0202,45-54,Italy,M
R0203,18-24,Poland,F
R0204,55-64,Portugal,F
R0205,25-34,Norway,M
R0206,65+,United Kingdom,M
R0207,18-24,Switzerland,M
R0208,65+,Brazil,M
R0209,45-54,Poland,F
R0210,55-64,Portugal,F
R0211,25-34,Croatia,M
R0212,55-64,Serbia,NB
R0213,45-54,Serbia,F
R0214,35-44,Brazil,F
R0215,18-24,United States,M
R0216,25-34,Switzerland,F
R0217,18-24,Portugal,F
R0218,55-64,Portugal,F
R0219,35-44,Argentina,M
R0220,65+,Australia,M
R0221,18-24,United States,F
R0222,18-24,Sweden,M
R0223,35-44,France,M
R0224,25-34,Australia,F
R0225,35-44,France,M
R0226,25-34,Brazil,F
R0227,18-24,Spain,F
R0228,35-44,Norway,F
R0229,35-44,Germany,M
R0230,55-64,Australia,F
R0231,25-34,Czech Republic,F
R0232,35-44,Canada,F
R0233,65+,Spain,M
R0234,25-34,Australia,M
R0235,35-44,Spain,M
R0236,65+,Switzerland,F
R0237,65+,Serbia,M
R0238,35-44,Norway,F
R0239,25-34,Croatia,F
R0240,35-44,Australia,M
R0241,55-64,Serbia,M
R0242,45-54,Argentina,M
R0243,65+,Czech Republic,F
R0244,25-34,Poland,M
R0245,45-54,United States,M
R0246,25-34,United States,F
R0247,55-64,Poland,M
R0248,25-34,Japan,F
R0249,35-44,United States,M
R0250,45-54,Norway,M
R0251,18-24,United Kingdom,M
R0252,45-54,Argentina,M
R0253,65+,Serbia,F
R0254,65+,Portugal,M
R0255,65+,Spain,M
R0256,18-24,Serbia,F
R0257,18-24,Italy,F
R0258,65+,France,M
R0259,25-34,Germany,M
R0260,25-34,Norway,M
R0261,18-24,Italy,M
R0262,65+,Canada,F
R0263,18-24,Brazil,F
R0264,45-54,Switzerland,M
R0265,25-34,Japan,F
R0266,45-54,United Kingdom,M
R0267,18-24,Sweden,M
R0268,35-44,Sweden,F
R0269,18-24,France,M
R0270,55-64,Japan,M
R0271,55-64,Czech Republic,M
R0272,18-24,Argentina,M
R0273,25-34,Czech Republic,M
R0274,25-34,Netherlands,F
R0275,35-44,Argentina,F
R0276,45-54,Italy,F
R0277,25-34,Italy,F
R0278,18-24,Japan,M
R0279,18-24,Norway,M
R0280,18-24,Netherlands,M
R0281,18-24,Norway,M
R0282,25-34,Czech Republic,M
R0283,35-44,Norway,F
R0284,65+,Czech Republic,M
R0285,65+,Japan,M
R0286,35-44,Netherlands,F
R0287,35-44,Poland,M
R0288,35-44,Australia,F
R0289,18-24,Spain,F
R0290,65+,United Kingdom,M
R0291,25-34,Serbia,M
R0292,65+,Poland,F
R0293,18-24,Switzerland,M
R0294,65+,Australia,F
R0295,18-24,Canada,M
R0296,25-34,Serbia,M
R0297,35-44,Poland,M
R0298,45-54,Czech Republic,F
R0299,65+,Canada,F
R0300,65+,Argentina,M
R0301,45-54,Sweden,F
R0302,55-64,Sweden,F
R0303,55-64,Sweden,F
R0304,45-54,Germany,M
R0305,65+,Czech Republic,F
R0306,55-64,Argentina,F
R0307,18-24,Argentina,F
R0308,18-24,Brazil,M
R0309,35-44,Sweden,M
R0310,25-34,Italy,F
R0311,35-44,Netherlands,M
R0312,25-34,Japan,NB
R0313,25-34,Sweden,F
R0314,25-34,Brazil,F
R0315,18-24,United Kingdom,M
R0316,65+,United Kingdom,M
R0317,65+,Spain,F
R0318,45-54,Netherlands,F
R0319,65+,Italy,M
R0320,55-64,Germany,F
R0321,55-64,United States,F
R0322,25-34,Netherlands,M
R0323,18-24,Argentina,M
R0324,18-24,Switzerland,M
R0325,25-34,United States,F
R0326,65+,United Kingdom,F
R0327,55-64,Japan,F
R0328,45-54,Canada,F
R0329,65+,Spain,F
R0330,18-24,United Kingdom,M
R0331,65+,France,M
R0332,25-34,Portugal,F
R0333,18-24,Serbia,M
R0334,65+,Croatia,F
R0335,65+,Australia,F
R0336,55-64,Japan,F
R0337,25-34,Czech Republic,F
R0338,35-44,Germany,M
R0339,45-54,United Kingdom,F
R0340,25-34,Serbia,F
R0341,18-24,Argentina,F
R0342,25-34,Sweden,F
R0343,18-24,Croatia,F
R0344,35-44,Serbia,F
R0345,25-34,France,F
R0346,65+,Czech Republic,M
R0347,35-44,Italy,M
R0348,18-24,Netherlands,M
R0349,35-44,Spain,F
R0350,35-44,United States,M
R0351,18-24,Germany,F
R0352,55-64,Spain,M
R0353,35-44,Brazil,NB
R0354,25-34,France,F
R0355,35-44,Germany,M
R0356,55-64,France,F
R0357,45-54,France,F
R0358,35-44,Germany,M
R0359,18-24,Netherlands,M
R0360,35-44,Serbia,NB
R0361,25-34,Canada,F
R0362,45-54,Netherlands,NB
R0363,65+,Italy,M
R0364,45-54,Portugal,M
R0365,55-64,United Kingdom,M
R0366,55-64,Serbia,M
R0367,55-64,France,F
R0368,25-34,United Kingdom,M
R0369,45-54,Germany,F
R0370,18-24,Argentina,F
R0371,65+,United Kingdom,M
R0372,65+,United States,NB
R0373,55-64,Norway,F
R0374,55-64,Canada,F
R0375,25-34,Canada,F
R0376,35-44,Norway,M
R0377,18-24,Serbia,F
R0378,25-34,Norway,M
R0379,18-24,United Kingdom,F
R0380,65+,Poland,F
R0381,18-24,United Kingdom,M
R0382,35-44,Sweden,NB
R0383,45-54,Italy,M
R0384,35-44,United States,F
R0385,25-34,Germany,M
R0386,55-64,Netherlands,M
R0387,18-24,Germany,M
R0388,65+,Croatia,M
R0389,45-54,Australia,M
R0390,45-54,United Kingdom,NB
R0391,55-64,Poland,M
R0392,35-44,Japan,M
R0393,45-54,Norway,F
R0394,25-34,Croatia,F
R0395,55-64,Norway,M
R0396,35-44,Germany,M
R0397,45-54,Portugal,F
R0398,35-44,France,F
R0399,65+,France,F
R0400,25-34,Sweden,F
R0401,25-34,Italy,M
R0402,45-54,United States,M
R0403,45-54,Germany,F
R0404,45-54,Croatia,M
R0405,18-24,Netherlands,F
R0406,45-54,Sweden,F
R0407,18-24,Germany,F
R0408,65+,Italy,M
R0409,45-54,Brazil,F
R0410,35-44,Germany,F
R0411,35-44,Norway,M
R0412,25-34,Poland,F
R0413,35-44,Croatia,M
R0414,55-64,United Kingdom,M
R0415,25-34,Brazil,F
R0416,55-64,France,M
R0417,45-54,France,F
R0418,45-54,Poland,M
R0419,18-24,Brazil,M
R0420,65+,Czech Republic,M
R0421,35-44,United States,M
R0422,25-34,Germany,M
R0423,45-54,Germany,M
R0424,65+,Croatia,M
R0425,55-64,Brazil,F
R0426,35-44,United States,F
R0427,18-24,Czech Republic,M
R0428,35-44,United States,M
R0429,35-44,Czech Republic,M
R0430,45-54,Sweden,F
R0431,25-34,Czech Republic,F
R0432,65+,Switzerland,M
R0433,18-24,Sweden,F
R0434,25-34,Germany,F
R0435,65+,Switzerland,F
R0436,25-34,Canada,F
R0437,65+,Canada,F
R0438,25-34,Croatia,M
R0439,45-54,Canada,M
R0440,65+,Czech Republic,M
R0441,55-64,Spain,M
R0442,25-34,Croatia,F
R0443,55-64,Italy,F
R0444,25-34,Brazil,M
R0445,65+,Sweden,F
R0446,25-34,Norway,NB
R0447,25-34,Netherlands,F
R0448,25-34,Switzerland,M
R0449,35-44,Netherlands,M
R0450,35-44,Japan,M
R0451,18-24,Poland,F
R0452,45-54,Czech Republic,F
R0453,35-44,Netherlands,F
R0454,45-54,Portugal,F
R0455,35-44,Italy,NB
R0456,45-54,Czech Republic,M
R0457,25-34,Sweden,M
R0458,25-34,Sweden,F
R0459,45-54,Japan,F
R0460,65+,Czech Republic,F
R0461,35-44,Norway,F
R0462,18-24,Italy,M
R0463,65+,Spain,M
R0464,45-54,Italy,F
R0465,65+,Norway,F
R0466,18-24,Croatia,F
R0467,55-64,France,F
R0468,35-44,Czech Republic,F
R0469,25-34,Croatia,M
R0470,45-54,Italy,F
R0471,45-54,Italy,M
R0472,45-54,Czech Republic,M
R0473,65+,Serbia,F
R0474,35-44,Argentina,M
R0475,35-44,Australia,F
R0476,35-44,Japan,F
R0477,65+,Argentina,F
R0478,45-54,France,M
R0479,18-24,United Kingdom,M
R0480,55-64,Norway,M
R0481,35-44,United States,M
R0482,45-54,Argentina,F
R0483,45-54,Brazil,F
R0484,65+,Serbia,F
R0485,55-64,Czech Republic,M
R0486,65+,Serbia,M
R0487,25-34,Serbia,F
R0488,55-64,United States,M
R0489,25-34,Italy,F
R0490,25-34,Portugal,F
R0491,65+,Switzerland,M
R0492,65+,Australia,F
R0493,25-34,Canada,F
R0494,18-24,Germany,M
R0495,45-54,Spain,M
R0496,55-64,United Kingdom,F
R0497,55-64,Sweden,M
R0498,55-64,Serbia,M
R0499,65+,United Kingdom,M
R0500,65+,Netherlands,F
