respondent_id,age_group,country,gender
R0273,25-34,Czech Republic,Male
R0274,25-34,Netherlands,Female
R0275,35-44,Argentina,Female
R0276,45-54,Italy,Female
R0277,25-34,Italy,Female
R0278,18-24,Japan,Male
R0279,18-24,Norway,Male
R0280,18-24,Netherlands,Male
R0281,18-24,Norway,Male
R0282,25-34,Czech Republic,Male
R0283,35-44,Norway,Female
R0284,65+,Czech Republic,Male
R0285,65+,Japan,Male
R0286,35-44,Netherlands,Female
R0287,35-44,Poland,Male
R0288,35-44,Australia,Female
R0289,18-24,Spain,Female
R0290,65+,United Kingdom,Male
R0291,25-34,Serbia,Male
R0292,65+,Poland,Female
R0293,18-24,Switzerland,Male
R0294,65+,Australia,Female
R0295,18-24,Canada,Male
R0296,25-34,Serbia,Male
R0297,35-44,Poland,Male
R0298,45-54,Czech Republic,Female
R0299,65+,Canada,Female
R0300,65+,Argentina,Male
R0301,45-54,Sweden,Female
R0302,55-64,Sweden,Female
R0303,55-64,Sweden,Female
R0304,45-54,Germany,Male
R0305,65+,Czech Republic,Female
R0306,55-64,Argentina,Female
R0307,18-24,Argentina,Female
R0308,18-24,Brazil,Male
R0309,35-44,Sweden,Male
R0310,25-34,Italy,Female
R0311,35-44,Netherlands,Male
R0312,25-34,Japan,Non-binary
R0313,25-34,Sweden,Female
R0314,25-34,Brazil,Female
R0315,18-24,United Kingdom,Male
R0316,65+,United Kingdom,Male
R0317,65+,Spain,Female
R0318,45-54,Netherlands,Female
R0319,65+,Italy,Male
R0320,55-64,Germany,Female
R0321,55-64,United States,Female
R0322,25-34,Netherlands,Male
R0323,18-24,Argentina,Male
R0324,18-24,Switzerland,Male
R0325,25-34,United States,Female
R0326,65+,United Kingdom,Female
R0327,55-64,Japan,Female
R0328,45-54,Canada,Female
R0329,65+,Spain,Female
R0330,18-24,United Kingdom,Male
R0331,65+,France,Male
R0332,25-34,Portugal,Female
R0333,18-24,Serbia,Male
R0334,65+,Croatia,Female
R0335,65+,Australia,Female
R0336,55-64,Japan,Female
R0337,25-34,Czech Republic,Female
R0338,35-44,Germany,Male
R0339,45-54,United Kingdom,Female
R0340,25-34,Serbia,Female
R0341,18-24,Argentina,Female
R0342,25-34,Sweden,Female
R0343,18-24,Croatia,Female
R0344,35-44,Serbia,Female
R0345,25-34,France,Female
R0346,65+,Czech Republic,Male
R0347,35-44,Italy,Male
R0348,18-24,Netherlands,Male
R0349,35-44,Spain,Female
R0350,35-44,United States,Male
R0351,18-24,Germany,Female
R0352,55-64,Spain,Male
R0353,35-44,Brazil,Non-binary
R0354,25-34,France,Female
R0355,35-44,Germany,Male
R0356,55-64,France,Female
R0357,45-54,France,Female
R0358,35-44,Germany,Male
R0359,18-24,Netherlands,Male
R0360,35-44,Serbia,Non-binary
R0361,25-34,Canada,Female
R0362,45-54,Netherlands,Non-binary
R0363,65+,Italy,Male
R0364,45-54,Portugal,Male
R0365,55-64,United Kingdom,Male
R0366,55-64,Serbia,Male
R0367,55-64,France,Female
R0368,25-34,United Kingdom,Male
R0369,45-54,Germany,Female
R0370,18-24,Argentina,Female
R0371,65+,United Kingdom,Male
R0372,65+,United States,Non-binary
R0373,55-64,Norway,Female
R0374,55-64,Canada,Female
R0375,25-34,Canada,Female
R0376,35-44,Norway,Male
R0377,18-24,Serbia,Female
R0378,25-34,Norway,Male
R0379,18-24,United Kingdom,Female
R0380,65+,Poland,Female
R0381,18-24,United Kingdom,Male
R0382,35-44,Sweden,Non-binary
R0383,45-54,Italy,Male
R0384,35-44,United States,Female
R0385,25-34,Germany,Male
R0386,55-64,Netherlands,Male
R0387,18-24,Germany,Male
R0388,65+,Croatia,Male
R0389,45-54,Australia,Male
R0390,45-54,United Kingdom,Non-binary
R0391,55-64,Poland,Male
R0392,35-44,Japan,Male
R0393,45-54,Norway,Female
R0394,25-34,Croatia,Female
R0395,55-64,Norway,Male
R0396,35-44,Germany,Male
R0397,45-54,Portugal,Female
R0398,35-44,France,Female
R0399,65+,France,Female
R0400,25-34,Sweden,Female
R0401,25-34,Italy,Male
R0402,45-54,United States,Male
R0403,45-54,Germany,Female
R0404,45-54,Croatia,Male
R0405,18-24,Netherlands,Female
R0406,45-54,Sweden,Female
R0407,18-24,Germany,Female
R0408,65+,Italy,Male
R0409,45-54,Brazil,Female
R0410,35-44,Germany,Female
R0411,35-44,Norway,Male
R0412,25-34,Poland,Female
R0413,35-44,Croatia,Male
R0414,55-64,United Kingdom,Male
R0415,25-34,Brazil,Female
R0416,55-64,France,Male
R0417,45-54,France,Female
R0418,45-54,Poland,Male
R0419,18-24,Brazil,Male
R0420,65+,Czech Republic,Male
R0421,35-44,United States,Male
R0422,25-34,Germany,Male
R0423,45-54,Germany,Male
R0424,65+,Croatia,Male
R0425,55-64,Brazil,Female
R0426,35-44,United States,Female
R0427,18-24,Czech Republic,Male
R0428,35-44,United States,Male
R0429,35-44,Czech Republic,Male
R0430,45-54,Sweden,Female
R0431,25-34,Czech Republic,Female
R0432,65+,Switzerland,Male
R0433,18-24,Sweden,Female
R0434,25-34,Germany,Female
R0435,65+,Switzerland,Female
R0436,25-34,Canada,Female
R0437,65+,Canada,Female
R0438,25-34,Croatia,Male
R0439,45-54,Canada,Male
R0440,65+,Czech Republic,Male
R0441,55-64,Spain,Male
R0442,25-34,Croatia,Female
R0443,55-64,Italy,Female
R0444,25-34,Brazil,Male
R0445,65+,Sweden,Female
R0446,25-34,Norway,Non-binary
R0447,25-34,Netherlands,Female
R0448,25-34,Switzerland,Male
R0449,35-44,Netherlands,Male
R0450,35-44,Japan,Male
R0451,18-24,Poland,Female
R0452,45-54,Czech Republic,Female
R0453,35-44,Netherlands,Female
R0454,45-54,Portugal,Female
R0455,35-44,Italy,Non-binary
R0456,45-54,Czech Republic,Male
R0457,25-34,Sweden,Male
R0458,25-34,Sweden,Female
R0459,45-54,Japan,Female
R0460,65+,Czech Republic,Female
R0461,35-44,Norway,Female
R0462,18-24,Italy,Male
R0463,65+,Spain,Male
R0464,45-54,Italy,Female
R0465,65+,Norway,Female
R0466,18-24,Croatia,Female
R0467,55-64,France,Female
R0468,35-44,Czech Republic,Female
R0469,25-34,Croatia,Male
R0470,45-54,Italy,Female
R0471,45-54,Italy,Male
R0472,45-54,Czech Republic,Male
R0473,65+,Serbia,Female
R0474,35-44,Argentina,Male
R0475,35-44,Australia,Female
R0476,35-44,Japan,Female
R0477,65+,Argentina,Female
R0478,45-54,France,Male
R0479,18-24,United Kingdom,Male
R0480,55-64,Norway,Male
R0481,35-44,United States,Male
R0482,45-54,Argentina,Female
R0483,45-54,Brazil,Female
R0484,65+,Serbia,Female
R0485,55-64,Czech Republic,Male
R0486,65+,Serbia,Male
R0487,25-34,Serbia,Female
R0488,55-64,United States,Male
R0489,25-34,Italy,Female
R0490,25-34,Portugal,Female
R0491,65+,Switzerland,Male
R0492,65+,Australia,Female
R0493,25-34,Canada,Female
R0494,18-24,Germany,Male
R0495,45-54,Spain,Male
R0496,55-64,United Kingdom,Female
R0497,55-64,Sweden,Male
R0498,55-64,Serbia,Male
R0499,65+,United Kingdom,Male
R0500,65+,Netherlands,Female
