venue_id,venue_name,city,country,capacity_thousands,standing_thousands
VEN074,Aarhus Premier Grounds 74,Aarhus,Denmark,71.8,6.2
VEN075,Berlin Harbor Arena 75,Berlin,Germany,12.6,0.5
VEN076,Milan Premier Grounds 76,Milan,Italy,15.4,0.7
VEN077,Athens Central Arena 77,Athens,Greece,22.8,0.5
VEN078,Gothenburg National Arena 78,Gothenburg,Sweden,18.3,0.0
VEN079,Stockholm Civic Arena 79,Stockholm,Sweden,18.4,1.9
VEN080,Dublin Central Arena 80,Dublin,Ireland,8.5,0.8
VEN081,Vienna Harbor Arena 81,Vienna,Austria,42.7,3.8
VEN082,London Heritage Stadium 82,London,UK,36.8,2.3
VEN083,Salzburg Metropolitan Arena 83,Salzburg,Austria,10.8,1.8
VEN084,Paris Civic Arena 84,Paris,France,71.9,10.8
VEN085,Barcelona National Arena 85,Barcelona,Spain,82.3,12.6
VEN086,Vienna Olympic Center 86,Vienna,Austria,19.1,0.8
VEN087,Milan Grand Stadium 87,Milan,Italy,60.4,9.7
VEN088,Oslo Grand Stadium 88,Oslo,Norway,21.3,2.4
VEN089,Vienna Premier Grounds 89,Vienna,Austria,33.4,0.4
VEN090,Oslo Heritage Stadium 90,Oslo,Norway,18.2,1.0
VEN091,Krakow Grand Stadium 91,Krakow,Poland,95.0,14.2
VEN092,London Northern Athletic Center 92,London,UK,25.1,4.1
VEN093,Vienna Capital Sports Center 93,Vienna,Austria,32.4,4.7
VEN094,Zurich Capital Sports Center 94,Zurich,Switzerland,19.9,2.4
VEN095,Vienna City Sports Complex 95,Vienna,Austria,91.6,4.9
VEN096,Hamburg Central Arena 96,Hamburg,Germany,93.1,8.5
VEN097,Prague Riverside Sports Park 97,Prague,Czech Republic,79.8,4.9
VEN098,Paris Civic Arena 98,Paris,France,53.3,2.9
VEN099,Dublin Grand Stadium 99,Dublin,Ireland,20.6,2.0
VEN100,Brussels Apex Stadium 100,Brussels,Belgium,49.3,6.2
VEN101,Copenhagen Civic Arena 101,Copenhagen,Denmark,29.9,3.4
VEN102,London Premier Grounds 102,London,UK,65.9,4.9
VEN103,Amsterdam Phoenix Arena 103,Amsterdam,Netherlands,58.6,8.8
VEN104,Vienna Northern Athletic Center 104,Vienna,Austria,20.3,0.9
VEN105,Aarhus Unity Sports Center 105,Aarhus,Denmark,53.0,2.4
VEN106,Salzburg Civic Arena 106,Salzburg,Austria,45.2,0.5
VEN107,Prague Apex Stadium 107,Prague,Czech Republic,5.7,0.6
VEN108,London Central Arena 108,London,UK,48.5,3.2
VEN109,Lisbon Capital Sports Center 109,Lisbon,Portugal,23.2,0.8
VEN110,Lyon Unity Sports Center 110,Lyon,France,17.6,0.3
VEN111,Aarhus Olympic Center 111,Aarhus,Denmark,18.1,1.5
VEN112,Dublin Grand Stadium 112,Dublin,Ireland,27.7,1.6
VEN113,Lisbon Grand Stadium 113,Lisbon,Portugal,40.0,3.1
VEN114,Aarhus Heritage Stadium 114,Aarhus,Denmark,13.2,0.3
VEN115,Porto Heritage Stadium 115,Porto,Portugal,33.6,4.8
VEN116,Helsinki Capital Sports Center 116,Helsinki,Finland,42.4,1.7
VEN117,Stockholm National Arena 117,Stockholm,Sweden,91.7,14.9
VEN118,Warsaw Metropolitan Arena 118,Warsaw,Poland,15.7,0.8
VEN119,Rotterdam Phoenix Arena 119,Rotterdam,Netherlands,24.3,3.1
VEN120,Salzburg Heritage Stadium 120,Salzburg,Austria,35.1,2.0
VEN121,Budapest Capital Sports Center 121,Budapest,Hungary,59.7,3.9
VEN122,Krakow Premier Grounds 122,Krakow,Poland,25.0,2.3
VEN123,Oslo Harbor Arena 123,Oslo,Norway,61.6,8.7
VEN124,Stockholm Harbor Arena 124,Stockholm,Sweden,9.4,0.5
VEN125,Athens Unity Sports Center 125,Athens,Greece,14.1,2.0
VEN126,Milan Phoenix Arena 126,Milan,Italy,37.0,5.9
VEN127,Krakow Heritage Stadium 127,Krakow,Poland,12.9,1.3
VEN128,Brussels Civic Arena 128,Brussels,Belgium,14.8,1.3
VEN129,Paris Central Arena 129,Paris,France,21.9,2.3
VEN130,Rotterdam National Arena 130,Rotterdam,Netherlands,47.7,1.2
VEN131,Lisbon Civic Arena 131,Lisbon,Portugal,9.6,1.1
VEN132,Stockholm Heritage Stadium 132,Stockholm,Sweden,33.2,1.2
VEN133,Copenhagen Premier Grounds 133,Copenhagen,Denmark,55.8,3.8
VEN134,Zurich Phoenix Arena 134,Zurich,Switzerland,26.7,2.0
VEN135,Dublin Capital Sports Center 135,Dublin,Ireland,24.0,2.7
VEN136,Lisbon Phoenix Arena 136,Lisbon,Portugal,38.2,6.3
VEN137,Rotterdam Unity Sports Center 137,Rotterdam,Netherlands,26.7,4.0
VEN138,Amsterdam Championship Grounds 138,Amsterdam,Netherlands,69.1,5.8
VEN139,London Phoenix Arena 139,London,UK,15.4,2.2
VEN140,Amsterdam Grand Stadium 140,Amsterdam,Netherlands,29.1,4.4
VEN141,Athens Olympic Center 141,Athens,Greece,33.9,0.3
VEN142,Gothenburg Grand Stadium 142,Gothenburg,Sweden,23.9,2.7
VEN143,Krakow Civic Arena 143,Krakow,Poland,5.4,0.0
VEN144,London Olympic Center 144,London,UK,27.2,1.9
VEN145,Turin National Arena 145,Turin,Italy,51.5,2.5
VEN146,Warsaw Unity Sports Center 146,Warsaw,Poland,47.8,4.1
VEN147,Brussels Phoenix Arena 147,Brussels,Belgium,37.1,0.5
VEN148,Hamburg National Arena 148,Hamburg,Germany,15.5,2.0
VEN149,Madrid Civic Arena 149,Madrid,Spain,38.0,4.4
VEN150,Madrid Apex Stadium 150,Madrid,Spain,21.3,0.1
