product_id,product_name,brand,category,annual_sales_gbp,units_sold
PROD100,Cordless Drill V32,Heinz,Home & Garden,4405757,141472
PROD101,Resistance Bands M80,Samsung,Sports Equipment,1649079,81358
PROD102,Training Tee G65,Colgate,Apparel,7476687,70337
PROD103,Resistance Bands O66,Zara,Sports Equipment,2787537,46073
PROD104,Sparkling Water Z31,Sony,Food & Beverage,6164291,69954
PROD105,Training Tee C40,Nike,Apparel,10672621,73677
PROD106,Coffee Blend E13,Apple,Food & Beverage,4631852,90378
PROD107,Sparkling Water T19,Zara,Food & Beverage,1317975,17772
PROD108,Air Purifier W99,IKEA,Home & Garden,696565,5652
PROD109,Cordless Drill H28,Samsung,Home & Garden,18200731,376553
PROD110,Tablet Pro H32,Siemens,Electronics,2827627,105719
PROD111,Robot Vacuum R41,LG,Home & Garden,1588811,27872
PROD112,Air Purifier Z69,Siemens,Home & Garden,3649623,94243
PROD113,Resistance Bands Y66,Heinz,Sports Equipment,2610215,17636
PROD114,Dumbbells R67kg,Bosch,Sports Equipment,7400163,56613
PROD115,Cordless Drill I41,P&G,Home & Garden,3268894,30876
PROD116,Dumbbells U40kg,P&G,Sports Equipment,3203685,22929
PROD117,Robot Vacuum W46,Unilever,Home & Garden,1548068,11900
PROD118,Training Tee K79,Sony,Apparel,5050423,119309
PROD119,Coffee Blend H59,Philips,Food & Beverage,1125441,7885
PROD120,Energy Drink Pack N62,Adidas,Food & Beverage,6144234,66428
PROD121,Dumbbells N17kg,Nestlé,Sports Equipment,14473821,110810
PROD122,Cordless Drill Y84,Samsung,Home & Garden,689391,4813
PROD123,Dumbbells P10kg,Puma,Sports Equipment,269240,4412
PROD124,Performance Shorts N78,3M,Apparel,5850769,186037
PROD125,Yoga Mat Pro P38,P&G,Sports Equipment,40239345,834626
PROD126,Cordless Drill A59,Adidas,Home & Garden,1163079,15196
PROD127,Air Purifier O26,Heinz,Home & Garden,906336,6859
PROD128,Fitness Tracker M85,Colgate,Sports Equipment,5689959,41173
PROD129,Smart TV U64,Philips,Electronics,1364852,81296
PROD130,Air Purifier B43,IKEA,Home & Garden,1906494,21559
PROD131,Sports Jacket O51,Adidas,Apparel,2232114,29699
PROD132,Smart Thermostat Y63,P&G,Home & Garden,5375315,113442
PROD133,Tablet Pro A79,Apple,Electronics,2108224,64187
PROD134,Sports Jacket U18,Apple,Apparel,4170598,65360
PROD135,Laptop Model G12,Heinz,Electronics,2649284,17675
PROD136,Coffee Blend E70,LG,Food & Beverage,1359480,22012
PROD137,Yoga Mat Pro O99,P&G,Sports Equipment,2296073,25633
PROD138,Sports Jacket T87,LG,Apparel,1223266,10566
PROD139,Protein Bar D84,Samsung,Food & Beverage,3180624,47114
PROD140,Performance Shorts M35,Sony,Apparel,1028708,6680
PROD141,Yoga Mat Pro D99,Nike,Sports Equipment,1061021,6950
PROD142,Fitness Tracker Z82,Apple,Sports Equipment,13537466,262336
PROD143,Performance Shorts V57,Sony,Apparel,2996555,34638
PROD144,Resistance Bands A63,Panasonic,Sports Equipment,2994408,51112
PROD145,Tablet Pro L91,Zara,Electronics,5266576,93537
PROD146,Sparkling Water F76,P&G,Food & Beverage,2075731,98631
PROD147,Dumbbells O65kg,Colgate,Sports Equipment,2515223,24543
PROD148,Training Tee H21,P&G,Apparel,4831301,55353
PROD149,Air Purifier Y69,Colgate,Home & Garden,4189519,181205
PROD150,Dumbbells K13kg,Panasonic,Sports Equipment,992949,17915
PROD151,Sports Jacket P37,Puma,Apparel,7262536,50101
PROD152,Training Tee I86,P&G,Apparel,1752383,35142
PROD153,Fitness Tracker Q34,Sony,Sports Equipment,1100753,30237
PROD154,Sparkling Water P81,Unilever,Food & Beverage,1285795,15056
PROD155,Cordless Drill O12,Sony,Home & Garden,2139521,13718
PROD156,Sports Jacket M98,Unilever,Apparel,16047567,319543
PROD157,Training Tee P80,Siemens,Apparel,976977,8771
PROD158,Performance Shorts X80,Adidas,Apparel,3707730,29876
PROD159,Performance Shorts I49,P&G,Apparel,373733,7536
PROD160,Energy Drink Pack X34,Adidas,Food & Beverage,3155059,26434
PROD161,Smartphone Y98 Plus,Bosch,Electronics,7759040,113938
PROD162,Coffee Blend X71,P&G,Food & Beverage,2494891,23600
PROD163,Resistance Bands D34,Nike,Sports Equipment,1685584,15918
PROD164,Protein Bar F48,Samsung,Food & Beverage,3981878,43287
PROD165,Yoga Mat Pro I15,Apple,Sports Equipment,6358088,222006
PROD166,Resistance Bands W26,Panasonic,Sports Equipment,6130555,45553
PROD167,Smart TV S46,Panasonic,Electronics,22651812,368832
PROD168,Cordless Drill K33,Apple,Home & Garden,3894019,92007
PROD169,Performance Shorts D18,IKEA,Apparel,1748930,80975
PROD170,Robot Vacuum S90,Apple,Home & Garden,2786459,27913
PROD171,Coffee Blend Z82,Nike,Food & Beverage,2939315,26208
PROD172,Laptop Model D81,H&M,Electronics,3522442,193980
PROD173,Yoga Mat Pro Y76,IKEA,Sports Equipment,3066652,34604
PROD174,Cordless Drill J85,H&M,Home & Garden,3759516,78310
PROD175,Running Shoes T22,Nestlé,Apparel,595769,5539
PROD176,Protein Bar V20,Bosch,Food & Beverage,7235653,178240
PROD177,Coffee Blend R19,Bosch,Food & Beverage,1780065,15607
PROD178,Tablet Pro O98,Heinz,Electronics,979299,13833
PROD179,Smart Thermostat B39,Nike,Home & Garden,5973995,40093
PROD180,Performance Shorts C97,Unilever,Apparel,11775533,333061
PROD181,Sports Jacket N24,3M,Apparel,5170134,80406
PROD182,Coffee Blend I28,Sony,Food & Beverage,3711744,116224
PROD183,Laptop Model Z49,Heinz,Electronics,1245675,8457
PROD184,Resistance Bands O25,Zara,Sports Equipment,55592835,395516
PROD185,Performance Shorts I74,3M,Apparel,7610876,145026
PROD186,Cordless Drill C86,Apple,Home & Garden,1012981,9238
PROD187,Smart Thermostat T42,Samsung,Home & Garden,1450695,10989
PROD188,Laptop Model V83,Colgate,Electronics,3446735,36377
PROD189,Wireless Headphones S15,Bosch,Electronics,669015,7342
PROD190,Cordless Drill I33,Colgate,Home & Garden,3739539,74505
PROD191,Cordless Drill C70,Puma,Home & Garden,1998013,68803
PROD192,Smart Thermostat K95,LG,Home & Garden,10752068,74987
PROD193,Protein Bar N98,Panasonic,Food & Beverage,8259449,57421
PROD194,Performance Shorts Y80,Apple,Apparel,210797,1991
PROD195,Robot Vacuum K42,Adidas,Home & Garden,3294371,51466
PROD196,Tablet Pro Q10,3M,Electronics,628389,9599
PROD197,Cordless Drill B34,Siemens,Home & Garden,9569983,80399
PROD198,Performance Shorts U66,Apple,Apparel,3737580,26069
PROD199,Protein Bar R26,Nike,Food & Beverage,5464087,38494
PROD200,Cordless Drill D13,Heinz,Home & Garden,1090855,8609
