product_id,product_name,brand,category,report_quarter,quarterly_sales_usd
PROD135,Laptop Model G12,Heinz,Electronics,Q1-2023,769527
PROD136,Coffee Blend E70,LG,Food & Beverage,Q1-2023,405530
PROD137,Yoga Mat Pro O99,P&G,Sports Equipment,Q1-2023,675183
PROD138,Sports Jacket T87,LG,Apparel,Q1-2023,326885
PROD139,Protein Bar D84,Samsung,Food & Beverage,Q1-2023,878734
PROD140,Performance Shorts M35,Sony,Apparel,Q1-2023,269477
PROD141,Yoga Mat Pro D99,Nike,Sports Equipment,Q1-2023,316939
PROD142,Fitness Tracker Z82,Apple,Sports Equipment,Q1-2023,3833970
PROD143,Performance Shorts V57,Sony,Apparel,Q1-2023,798252
PROD144,Resistance Bands A63,Panasonic,Sports Equipment,Q1-2023,856794
PROD145,Tablet Pro L91,Zara,Electronics,Q1-2023,1494361
PROD146,Sparkling Water F76,P&G,Food & Beverage,Q1-2023,564933
PROD147,Dumbbells O65kg,Colgate,Sports Equipment,Q1-2023,657133
PROD148,Training Tee H21,P&G,Apparel,Q1-2023,1382359
PROD149,Air Purifier Y69,Colgate,Home & Garden,Q1-2023,1170492
PROD150,Dumbbells K13kg,Panasonic,Sports Equipment,Q1-2023,288565
PROD151,Sports Jacket P37,Puma,Apparel,Q1-2023,2029003
PROD152,Training Tee I86,P&G,Apparel,Q1-2023,515504
PROD153,Fitness Tracker Q34,Sony,Sports Equipment,Q1-2023,309084
PROD154,Sparkling Water P81,Unilever,Food & Beverage,Q1-2023,361560
PROD155,Cordless Drill O12,Sony,Home & Garden,Q1-2023,631722
PROD156,Sports Jacket M98,Unilever,Apparel,Q1-2023,4399930
PROD157,Training Tee P80,Siemens,Apparel,Q1-2023,256137
PROD158,Performance Shorts X80,Adidas,Apparel,Q1-2023,954685
PROD159,Performance Shorts I49,P&G,Apparel,Q1-2023,108326
PROD160,Energy Drink Pack X34,Adidas,Food & Beverage,Q1-2023,895537
PROD161,Smartphone Y98 Plus,Bosch,Electronics,Q1-2023,2231299
PROD162,Coffee Blend X71,P&G,Food & Beverage,Q1-2023,662871
PROD163,Resistance Bands D34,Nike,Sports Equipment,Q1-2023,442093
PROD164,Protein Bar F48,Samsung,Food & Beverage,Q1-2023,1022747
PROD165,Yoga Mat Pro I15,Apple,Sports Equipment,Q1-2023,1728278
PROD166,Resistance Bands W26,Panasonic,Sports Equipment,Q1-2023,1731805
PROD167,Smart TV S46,Panasonic,Electronics,Q1-2023,6199341
PROD168,Cordless Drill K33,Apple,Home & Garden,Q1-2023,1073561
PROD169,Performance Shorts D18,IKEA,Apparel,Q1-2023,518538
PROD170,Robot Vacuum S90,Apple,Home & Garden,Q1-2023,757136
PROD171,Coffee Blend Z82,Nike,Food & Beverage,Q1-2023,820375
PROD172,Laptop Model D81,H&M,Electronics,Q1-2023,1025452
PROD173,Yoga Mat Pro Y76,IKEA,Sports Equipment,Q1-2023,839868
PROD174,Cordless Drill J85,H&M,Home & Garden,Q1-2023,1067405
PROD175,Running Shoes T22,Nestlé,Apparel,Q1-2023,175529
PROD176,Protein Bar V20,Bosch,Food & Beverage,Q1-2023,2159916
PROD177,Coffee Blend R19,Bosch,Food & Beverage,Q1-2023,467722
PROD178,Tablet Pro O98,Heinz,Electronics,Q1-2023,291330
PROD179,Smart Thermostat B39,Nike,Home & Garden,Q1-2023,1661545
PROD180,Performance Shorts C97,Unilever,Apparel,Q1-2023,3152417
PROD181,Sports Jacket N24,3M,Apparel,Q1-2023,1430370
PROD182,Coffee Blend I28,Sony,Food & Beverage,Q1-2023,1113040
PROD183,Laptop Model Z49,Heinz,Electronics,Q1-2023,346487
PROD184,Resistance Bands O25,Zara,Sports Equipment,Q1-2023,15057358
PROD185,Performance Shorts I74,3M,Apparel,Q1-2023,2164723
PROD186,Cordless Drill C86,Apple,Home & Garden,Q1-2023,270367
PROD187,Smart Thermostat T42,Samsung,Home & Garden,Q1-2023,376575
PROD188,Laptop Model V83,Colgate,Electronics,Q1-2023,902855
PROD189,Wireless Headphones S15,Bosch,Electronics,Q1-2023,175220
PROD190,Cordless Drill I33,Colgate,Home & Garden,Q1-2023,983389
PROD191,Cordless Drill C70,Puma,Home & Garden,Q1-2023,524255
PROD192,Smart Thermostat K95,LG,Home & Garden,Q1-2023,3061737
PROD193,Protein Bar N98,Panasonic,Food & Beverage,Q1-2023,2183026
PROD194,Performance Shorts Y80,Apple,Apparel,Q1-2023,57253
PROD195,Robot Vacuum K42,Adidas,Home & Garden,Q1-2023,975663
PROD196,Tablet Pro Q10,3M,Electronics,Q1-2023,174265
PROD197,Cordless Drill B34,Siemens,Home & Garden,Q1-2023,2736506
PROD198,Performance Shorts U66,Apple,Apparel,Q1-2023,986275
PROD199,Protein Bar R26,Nike,Food & Beverage,Q1-2023,1446728
PROD200,Cordless Drill D13,Heinz,Home & Garden,Q1-2023,281466
