match_id,venue_id,venue_name,event_date,attendance
M00135,VEN015,Salzburg Central Arena 15,2023-11-23,17748
M00136,VEN015,Salzburg Central Arena 15,2021-09-13,12783
M00137,VEN015,Salzburg Central Arena 15,2022-04-16,11647
M00138,VEN015,Salzburg Central Arena 15,2022-06-18,12057
M00139,VEN016,Dublin Grand Stadium 16,2022-06-22,22655
M00140,VEN016,Dublin Grand Stadium 16,2021-02-21,33233
M00141,VEN016,Dublin Grand Stadium 16,2022-01-04,33595
M00142,VEN016,Dublin Grand Stadium 16,2021-08-15,36033
M00143,VEN016,Dublin Grand Stadium 16,2022-04-23,20479
M00144,VEN016,Dublin Grand Stadium 16,2023-05-06,35697
M00145,VEN016,Dublin Grand Stadium 16,2022-02-21,35111
M00146,VEN016,Dublin Grand Stadium 16,2021-06-22,26504
M00147,VEN016,Dublin Grand Stadium 16,2021-01-13,35603
M00148,VEN016,Dublin Grand Stadium 16,2023-12-25,30945
M00149,VEN016,Dublin Grand Stadium 16,2023-02-23,24389
M00150,VEN016,Dublin Grand Stadium 16,2021-08-03,22062
M00151,VEN016,Dublin Grand Stadium 16,2021-09-22,22690
M00152,VEN016,Dublin Grand Stadium 16,2021-12-11,27921
M00153,VEN016,Dublin Grand Stadium 16,2022-12-05,34152
M00154,VEN017,Salzburg Civic Arena 17,2022-02-24,24380
M00155,VEN017,Salzburg Civic Arena 17,2021-06-12,38241
M00156,VEN017,Salzburg Civic Arena 17,2021-07-25,39656
M00157,VEN017,Salzburg Civic Arena 17,2021-11-22,38381
M00158,VEN017,Salzburg Civic Arena 17,2023-10-01,25738
M00159,VEN017,Salzburg Civic Arena 17,2021-08-12,34552
M00160,VEN017,Salzburg Civic Arena 17,2023-12-05,36666
M00161,VEN017,Salzburg Civic Arena 17,2023-11-15,40389
M00162,VEN017,Salzburg Civic Arena 17,2021-02-05,39259
M00163,VEN017,Salzburg Civic Arena 17,2023-12-13,37232
M00164,VEN017,Salzburg Civic Arena 17,2022-06-26,29673
M00165,VEN017,Salzburg Civic Arena 17,2022-11-03,25681
M00166,VEN017,Salzburg Civic Arena 17,2023-10-24,27724
M00167,VEN018,Ghent Grand Stadium 18,2023-01-28,17933
M00168,VEN018,Ghent Grand Stadium 18,2022-04-17,24622
M00169,VEN018,Ghent Grand Stadium 18,2021-12-13,21764
M00170,VEN018,Ghent Grand Stadium 18,2021-04-16,18059
M00171,VEN018,Ghent Grand Stadium 18,2021-08-21,19134
M00172,VEN018,Ghent Grand Stadium 18,2023-01-12,21610
M00173,VEN018,Ghent Grand Stadium 18,2021-07-28,25655
M00174,VEN018,Ghent Grand Stadium 18,2022-06-18,24525
M00175,VEN018,Ghent Grand Stadium 18,2022-02-01,22669
M00176,VEN018,Ghent Grand Stadium 18,2021-05-07,21532
M00177,VEN018,Ghent Grand Stadium 18,2021-07-17,15016
M00178,VEN018,Ghent Grand Stadium 18,2023-09-25,17951
M00179,VEN018,Ghent Grand Stadium 18,2023-07-03,19486
M00180,VEN018,Ghent Grand Stadium 18,2023-10-05,22164
M00181,VEN018,Ghent Grand Stadium 18,2022-02-17,17844
M00182,VEN019,Gothenburg Phoenix Arena 19,2021-09-11,20752
M00183,VEN019,Gothenburg Phoenix Arena 19,2023-11-22,15238
M00184,VEN019,Gothenburg Phoenix Arena 19,2022-12-14,17623
M00185,VEN019,Gothenburg Phoenix Arena 19,2021-01-08,18443
M00186,VEN019,Gothenburg Phoenix Arena 19,2022-02-15,12361
M00187,VEN019,Gothenburg Phoenix Arena 19,2021-05-22,17332
M00188,VEN019,Gothenburg Phoenix Arena 19,2023-03-04,18554
M00189,VEN019,Gothenburg Phoenix Arena 19,2021-12-01,11666
M00190,VEN019,Gothenburg Phoenix Arena 19,2022-09-17,13095
M00191,VEN020,Amsterdam Grand Stadium 20,2021-12-25,8693
M00192,VEN020,Amsterdam Grand Stadium 20,2023-02-25,13115
M00193,VEN020,Amsterdam Grand Stadium 20,2022-07-09,13280
M00194,VEN020,Amsterdam Grand Stadium 20,2022-12-19,10927
M00195,VEN020,Amsterdam Grand Stadium 20,2022-08-17,11576
M00196,VEN020,Amsterdam Grand Stadium 20,2022-10-06,9902
M00197,VEN020,Amsterdam Grand Stadium 20,2022-02-19,9949
M00198,VEN020,Amsterdam Grand Stadium 20,2021-04-24,11867
M00199,VEN020,Amsterdam Grand Stadium 20,2021-01-08,10833
M00200,VEN020,Amsterdam Grand Stadium 20,2022-07-05,7936
M00201,VEN021,Madrid Metropolitan Arena 21,2021-09-26,10247
M00202,VEN021,Madrid Metropolitan Arena 21,2023-11-14,10165
M00203,VEN021,Madrid Metropolitan Arena 21,2021-07-24,6884
M00204,VEN021,Madrid Metropolitan Arena 21,2021-10-12,7338
M00205,VEN021,Madrid Metropolitan Arena 21,2023-01-06,6384
M00206,VEN021,Madrid Metropolitan Arena 21,2023-01-13,6878
M00207,VEN021,Madrid Metropolitan Arena 21,2022-05-25,6144
M00208,VEN021,Madrid Metropolitan Arena 21,2022-02-18,9836
M00209,VEN022,Salzburg Northern Athletic Center 22,2021-05-19,5160
M00210,VEN022,Salzburg Northern Athletic Center 22,2023-10-08,8418
M00211,VEN022,Salzburg Northern Athletic Center 22,2023-08-25,7073
M00212,VEN022,Salzburg Northern Athletic Center 22,2023-09-25,8381
M00213,VEN022,Salzburg Northern Athletic Center 22,2021-01-14,8466
M00214,VEN022,Salzburg Northern Athletic Center 22,2023-06-21,5227
M00215,VEN022,Salzburg Northern Athletic Center 22,2021-06-01,8649
M00216,VEN022,Salzburg Northern Athletic Center 22,2022-12-24,8310
M00217,VEN022,Salzburg Northern Athletic Center 22,2021-09-08,6417
M00218,VEN022,Salzburg Northern Athletic Center 22,2021-03-23,6888
M00219,VEN022,Salzburg Northern Athletic Center 22,2021-04-28,6300
M00220,VEN022,Salzburg Northern Athletic Center 22,2023-06-15,7307
M00221,VEN022,Salzburg Northern Athletic Center 22,2021-10-04,9215
M00222,VEN023,Oslo Apex Stadium 23,2022-02-19,25911
M00223,VEN023,Oslo Apex Stadium 23,2022-11-05,34212
M00224,VEN023,Oslo Apex Stadium 23,2022-06-26,27884
M00225,VEN023,Oslo Apex Stadium 23,2023-06-11,30869
M00226,VEN023,Oslo Apex Stadium 23,2021-02-07,32012
M00227,VEN023,Oslo Apex Stadium 23,2023-02-05,25961
M00228,VEN023,Oslo Apex Stadium 23,2022-08-11,25378
M00229,VEN023,Oslo Apex Stadium 23,2023-06-25,31129
M00230,VEN023,Oslo Apex Stadium 23,2022-08-09,27328
M00231,VEN023,Oslo Apex Stadium 23,2021-03-26,39652
M00232,VEN023,Oslo Apex Stadium 23,2023-12-20,36471
M00233,VEN023,Oslo Apex Stadium 23,2022-03-03,24130
M00234,VEN023,Oslo Apex Stadium 23,2022-07-17,36951
M00235,VEN023,Oslo Apex Stadium 23,2022-05-27,24295
M00236,VEN024,Helsinki Apex Stadium 24,2022-08-18,18486
M00237,VEN024,Helsinki Apex Stadium 24,2021-02-15,29063
M00238,VEN024,Helsinki Apex Stadium 24,2021-02-01,19531
M00239,VEN024,Helsinki Apex Stadium 24,2021-03-07,18938
M00240,VEN024,Helsinki Apex Stadium 24,2022-11-21,30178
M00241,VEN024,Helsinki Apex Stadium 24,2021-10-19,31858
M00242,VEN024,Helsinki Apex Stadium 24,2021-01-03,21846
M00243,VEN024,Helsinki Apex Stadium 24,2023-08-26,20945
M00244,VEN025,Oslo Heritage Stadium 25,2022-02-02,13271
M00245,VEN025,Oslo Heritage Stadium 25,2021-03-19,21858
M00246,VEN025,Oslo Heritage Stadium 25,2023-07-16,16716
M00247,VEN025,Oslo Heritage Stadium 25,2023-07-06,12640
M00248,VEN025,Oslo Heritage Stadium 25,2021-05-09,15916
M00249,VEN025,Oslo Heritage Stadium 25,2021-01-20,16846
M00250,VEN025,Oslo Heritage Stadium 25,2021-11-10,18595
M00251,VEN025,Oslo Heritage Stadium 25,2023-08-02,17380
M00252,VEN026,Porto Capital Sports Center 26,2021-07-07,16619
M00253,VEN026,Porto Capital Sports Center 26,2023-04-21,20634
M00254,VEN026,Porto Capital Sports Center 26,2023-01-13,24523
M00255,VEN026,Porto Capital Sports Center 26,2022-08-18,22175
M00256,VEN026,Porto Capital Sports Center 26,2022-10-17,22170
M00257,VEN026,Porto Capital Sports Center 26,2022-03-01,17082
M00258,VEN026,Porto Capital Sports Center 26,2021-01-26,17052
M00259,VEN027,Amsterdam Riverside Sports Park 27,2022-09-12,19618
M00260,VEN027,Amsterdam Riverside Sports Park 27,2021-03-04,30466
M00261,VEN027,Amsterdam Riverside Sports Park 27,2021-05-18,22517
M00262,VEN027,Amsterdam Riverside Sports Park 27,2023-01-25,31224
M00263,VEN027,Amsterdam Riverside Sports Park 27,2021-10-28,33982
M00264,VEN027,Amsterdam Riverside Sports Park 27,2022-06-27,33772
M00265,VEN027,Amsterdam Riverside Sports Park 27,2021-03-08,33908
M00266,VEN027,Amsterdam Riverside Sports Park 27,2023-12-12,27796
M00267,VEN027,Amsterdam Riverside Sports Park 27,2021-12-23,32720
M00268,VEN027,Amsterdam Riverside Sports Park 27,2023-10-05,24107
M00269,VEN028,Turin National Arena 28,2022-09-10,26547
M00270,VEN028,Turin National Arena 28,2021-02-02,17095
M00271,VEN028,Turin National Arena 28,2021-01-17,17793
M00272,VEN028,Turin National Arena 28,2022-10-07,20794
M00273,VEN028,Turin National Arena 28,2022-12-06,24811
M00274,VEN028,Turin National Arena 28,2022-01-01,26185
M00275,VEN028,Turin National Arena 28,2023-03-25,16755
M00276,VEN028,Turin National Arena 28,2023-06-03,16305
M00277,VEN028,Turin National Arena 28,2023-07-19,19517
M00278,VEN028,Turin National Arena 28,2022-06-05,16184
M00279,VEN028,Turin National Arena 28,2023-07-26,26883
M00280,VEN028,Turin National Arena 28,2022-11-11,22767
M00281,VEN028,Turin National Arena 28,2023-12-20,17079
M00282,VEN028,Turin National Arena 28,2021-11-19,24573
M00283,VEN028,Turin National Arena 28,2022-05-24,24909
M00284,VEN029,Rotterdam Northern Athletic Center 29,2023-01-23,8150
M00285,VEN029,Rotterdam Northern Athletic Center 29,2022-10-02,13111
M00286,VEN029,Rotterdam Northern Athletic Center 29,2022-10-08,8481
M00287,VEN029,Rotterdam Northern Athletic Center 29,2021-08-05,11244
M00288,VEN029,Rotterdam Northern Athletic Center 29,2021-04-12,9381
M00289,VEN029,Rotterdam Northern Athletic Center 29,2021-11-03,13314
M00290,VEN029,Rotterdam Northern Athletic Center 29,2023-11-24,12343
M00291,VEN029,Rotterdam Northern Athletic Center 29,2022-01-09,12736
M00292,VEN029,Rotterdam Northern Athletic Center 29,2023-02-12,8647
M00293,VEN029,Rotterdam Northern Athletic Center 29,2021-12-01,8931
M00294,VEN030,Zurich Championship Grounds 30,2023-07-06,37546
M00295,VEN030,Zurich Championship Grounds 30,2022-07-12,49187
M00296,VEN030,Zurich Championship Grounds 30,2021-08-26,41283
M00297,VEN030,Zurich Championship Grounds 30,2023-11-08,48708
M00298,VEN030,Zurich Championship Grounds 30,2021-01-10,32333
M00299,VEN030,Zurich Championship Grounds 30,2022-02-03,29004
M00300,VEN031,Barcelona Premier Grounds 31,2022-03-24,22558
M00301,VEN031,Barcelona Premier Grounds 31,2021-06-20,21017
M00302,VEN031,Barcelona Premier Grounds 31,2022-12-01,35766
M00303,VEN031,Barcelona Premier Grounds 31,2023-03-20,26791
M00304,VEN031,Barcelona Premier Grounds 31,2021-01-04,34218
M00305,VEN031,Barcelona Premier Grounds 31,2021-07-23,25167
M00306,VEN031,Barcelona Premier Grounds 31,2023-09-09,28780
M00307,VEN031,Barcelona Premier Grounds 31,2022-04-04,30505
M00308,VEN031,Barcelona Premier Grounds 31,2023-09-27,20606
M00309,VEN031,Barcelona Premier Grounds 31,2021-06-01,27757
M00310,VEN031,Barcelona Premier Grounds 31,2022-11-21,26730
M00311,VEN032,Gothenburg Apex Stadium 32,2021-01-07,26959
M00312,VEN032,Gothenburg Apex Stadium 32,2022-02-16,22059
M00313,VEN032,Gothenburg Apex Stadium 32,2022-07-16,32715
M00314,VEN032,Gothenburg Apex Stadium 32,2023-05-03,27098
M00315,VEN032,Gothenburg Apex Stadium 32,2022-03-12,29517
M00316,VEN032,Gothenburg Apex Stadium 32,2022-03-15,33375
M00317,VEN032,Gothenburg Apex Stadium 32,2022-08-09,20060
M00318,VEN032,Gothenburg Apex Stadium 32,2022-10-02,22936
M00319,VEN032,Gothenburg Apex Stadium 32,2023-11-04,21747
M00320,VEN032,Gothenburg Apex Stadium 32,2022-09-14,20711
M00321,VEN032,Gothenburg Apex Stadium 32,2023-04-18,34725
M00322,VEN032,Gothenburg Apex Stadium 32,2022-09-14,20319
M00323,VEN032,Gothenburg Apex Stadium 32,2023-08-19,34644
M00324,VEN032,Gothenburg Apex Stadium 32,2022-05-03,33314
M00325,VEN032,Gothenburg Apex Stadium 32,2023-01-17,25605
M00326,VEN033,Copenhagen Premier Grounds 33,2023-11-20,47365
M00327,VEN033,Copenhagen Premier Grounds 33,2022-03-06,30563
M00328,VEN033,Copenhagen Premier Grounds 33,2021-03-02,48965
M00329,VEN033,Copenhagen Premier Grounds 33,2023-07-07,36720
M00330,VEN033,Copenhagen Premier Grounds 33,2023-03-27,49526
M00331,VEN033,Copenhagen Premier Grounds 33,2022-12-26,40550
M00332,VEN033,Copenhagen Premier Grounds 33,2022-09-13,28768
M00333,VEN033,Copenhagen Premier Grounds 33,2022-09-15,39591
M00334,VEN033,Copenhagen Premier Grounds 33,2021-12-20,47738
M00335,VEN033,Copenhagen Premier Grounds 33,2022-02-14,40384
M00336,VEN033,Copenhagen Premier Grounds 33,2023-10-19,30611
M00337,VEN033,Copenhagen Premier Grounds 33,2021-02-19,44195
M00338,VEN033,Copenhagen Premier Grounds 33,2022-09-12,44667
M00339,VEN033,Copenhagen Premier Grounds 33,2022-07-21,46862
M00340,VEN033,Copenhagen Premier Grounds 33,2023-08-02,38108
M00341,VEN034,Hamburg Championship Grounds 34,2021-10-20,12408
M00342,VEN034,Hamburg Championship Grounds 34,2022-01-13,15767
M00343,VEN034,Hamburg Championship Grounds 34,2022-12-08,17497
M00344,VEN034,Hamburg Championship Grounds 34,2022-05-12,10534
M00345,VEN034,Hamburg Championship Grounds 34,2022-05-09,10294
M00346,VEN034,Hamburg Championship Grounds 34,2023-11-04,17109
M00347,VEN034,Hamburg Championship Grounds 34,2021-03-10,18184
M00348,VEN034,Hamburg Championship Grounds 34,2022-06-09,18198
M00349,VEN035,London Capital Sports Center 35,2021-04-15,51095
M00350,VEN035,London Capital Sports Center 35,2022-12-16,40089
M00351,VEN035,London Capital Sports Center 35,2022-01-17,55416
M00352,VEN035,London Capital Sports Center 35,2021-05-23,56311
M00353,VEN035,London Capital Sports Center 35,2021-09-19,48350
M00354,VEN035,London Capital Sports Center 35,2021-04-27,34987
M00355,VEN035,London Capital Sports Center 35,2021-08-02,35789
M00356,VEN035,London Capital Sports Center 35,2023-04-09,59849
M00357,VEN035,London Capital Sports Center 35,2022-09-13,44478
M00358,VEN035,London Capital Sports Center 35,2021-11-01,51946
M00359,VEN035,London Capital Sports Center 35,2022-10-15,40943
M00360,VEN035,London Capital Sports Center 35,2022-10-18,39144
M00361,VEN036,Salzburg National Arena 36,2022-12-27,19442
M00362,VEN036,Salzburg National Arena 36,2022-01-13,23720
M00363,VEN036,Salzburg National Arena 36,2023-04-28,15786
M00364,VEN036,Salzburg National Arena 36,2021-11-07,17917
M00365,VEN036,Salzburg National Arena 36,2022-09-01,18509
M00366,VEN036,Salzburg National Arena 36,2023-01-16,25901
M00367,VEN036,Salzburg National Arena 36,2023-03-20,26483
M00368,VEN036,Salzburg National Arena 36,2021-05-20,25110
M00369,VEN036,Salzburg National Arena 36,2022-12-23,25162
M00370,VEN036,Salzburg National Arena 36,2022-07-28,23147
M00371,VEN036,Salzburg National Arena 36,2022-04-15,19498
M00372,VEN037,Lisbon Central Arena 37,2023-07-19,43701
M00373,VEN037,Lisbon Central Arena 37,2023-11-27,30474
M00374,VEN037,Lisbon Central Arena 37,2023-11-20,47433
M00375,VEN037,Lisbon Central Arena 37,2022-11-04,42134
M00376,VEN037,Lisbon Central Arena 37,2022-05-21,39204
M00377,VEN037,Lisbon Central Arena 37,2022-05-21,35601
M00378,VEN037,Lisbon Central Arena 37,2023-05-07,44481
M00379,VEN037,Lisbon Central Arena 37,2021-01-26,31570
M00380,VEN037,Lisbon Central Arena 37,2023-07-22,47846
M00381,VEN037,Lisbon Central Arena 37,2021-12-01,35473
M00382,VEN038,Oslo Riverside Sports Park 38,2022-07-13,46558
M00383,VEN038,Oslo Riverside Sports Park 38,2021-10-23,33780
M00384,VEN038,Oslo Riverside Sports Park 38,2021-06-24,46501
M00385,VEN038,Oslo Riverside Sports Park 38,2023-09-21,40599
M00386,VEN038,Oslo Riverside Sports Park 38,2023-06-17,42100
M00387,VEN038,Oslo Riverside Sports Park 38,2021-11-18,31933
M00388,VEN038,Oslo Riverside Sports Park 38,2021-08-05,29435
M00389,VEN038,Oslo Riverside Sports Park 38,2023-09-25,41177
M00390,VEN038,Oslo Riverside Sports Park 38,2023-06-21,44779
M00391,VEN038,Oslo Riverside Sports Park 38,2022-04-24,27509
M00392,VEN038,Oslo Riverside Sports Park 38,2022-06-12,43915
M00393,VEN038,Oslo Riverside Sports Park 38,2022-08-28,31101
M00394,VEN038,Oslo Riverside Sports Park 38,2021-11-19,28107
M00395,VEN039,Copenhagen National Arena 39,2021-08-07,15681
M00396,VEN039,Copenhagen National Arena 39,2023-07-17,12469
M00397,VEN039,Copenhagen National Arena 39,2021-03-05,11006
M00398,VEN039,Copenhagen National Arena 39,2022-07-19,16029
M00399,VEN039,Copenhagen National Arena 39,2022-03-11,15309
M00400,VEN039,Copenhagen National Arena 39,2021-02-16,15088
M00401,VEN039,Copenhagen National Arena 39,2021-06-21,11254
M00402,VEN039,Copenhagen National Arena 39,2022-05-07,9266
M00403,VEN039,Copenhagen National Arena 39,2021-10-25,14356
M00404,VEN039,Copenhagen National Arena 39,2021-03-20,9993
M00405,VEN039,Copenhagen National Arena 39,2022-07-14,11986
M00406,VEN039,Copenhagen National Arena 39,2022-01-02,15834
M00407,VEN039,Copenhagen National Arena 39,2023-06-01,12710
M00408,VEN039,Copenhagen National Arena 39,2023-04-01,15303
M00409,VEN039,Copenhagen National Arena 39,2023-12-08,13745
M00410,VEN040,Lisbon Harbor Arena 40,2022-05-05,34971
M00411,VEN040,Lisbon Harbor Arena 40,2023-10-10,24186
M00412,VEN040,Lisbon Harbor Arena 40,2021-05-10,25360
M00413,VEN040,Lisbon Harbor Arena 40,2023-10-17,30634
M00414,VEN040,Lisbon Harbor Arena 40,2023-03-11,28478
M00415,VEN040,Lisbon Harbor Arena 40,2022-06-25,40495
M00416,VEN040,Lisbon Harbor Arena 40,2022-01-08,25750
